[00:37:26] [!!FIGYELMEZTETÉS!!]: Adi_Adams kilett bannolva a rendszer által, oka: Hibás jelszó!
[02:38:37] [!!FIGYELMEZTETÉS!!]: Radovan_S_Barett kilett bannolva a rendszer által, oka: Hibás jelszó!
[10:35:53] [!!FIGYELMEZTETÉS!!]: Kelin_Carry kilett bannolva a rendszer által, oka: Hibás jelszó!
[11:23:43] [!!FIGYELMEZTETÉS!!]: Kelin_Carry kilett bannolva a rendszer által, oka: Hibás jelszó!
[13:37:44] [!!FIGYELMEZTETÉS!!]: Stevy_Camorra kilett bannolva a rendszer által, oka: Hibás jelszó!
[14:06:27] [!!FIGYELMEZTETÉS!!]: Adi_Adams kilett bannolva a rendszer által, oka: Hibás jelszó!
[16:32:31] [!!FIGYELMEZTETÉS!!]: Asa_Akira kilett bannolva a rendszer által, oka: Hibás jelszó!
[16:41:13] [!!FIGYELMEZTETÉS!!]: Albert_Hunor kilett bannolva a rendszer által, oka: Hibás jelszó!
[19:11:46] [!!FIGYELMEZTETÉS!!]: Sam_Witwicky kilett bannolva a rendszer által, oka: Hibás jelszó!
[21:05:17] [!!FIGYELMEZTETÉS!!]: Stefano_S_Lucchese kilett bannolva a rendszer által, oka: Hibás jelszó!
[21:37:52] [!!FIGYELMEZTETÉS!!]: Brittney_Miles kilett bannolva a rendszer által, oka: Hibás jelszó!
[21:56:28] [!!FIGYELMEZTETÉS!!]: Carlos_Brasco kilett bannolva a rendszer által, oka: Hibás jelszó!
[22:18:18] [!!FIGYELMEZTETÉS!!]: John_Kelin kilett bannolva a rendszer által, oka: Hibás jelszó!
