[07:42:03] [!!FIGYELMEZTETÉS!!]: David_Corsito kilett bannolva a rendszer által, oka: Hibás jelszó!
[09:20:48] [!!FIGYELMEZTETÉS!!]: CarloS_D_Garcia kilett bannolva a rendszer által, oka: Hibás jelszó!
[09:22:52] [!!FIGYELMEZTETÉS!!]: Felix_Wheeler kilett bannolva a rendszer által, oka: Hibás jelszó!
[09:30:42] [!!FIGYELMEZTETÉS!!]: Stefano_S_Lucchese kilett bannolva a rendszer által, oka: Hibás jelszó!
[11:18:17] [!!FIGYELMEZTETÉS!!]: George_Bush kilett bannolva a rendszer által, oka: Hibás jelszó!
[11:53:58] [!!FIGYELMEZTETÉS!!]: Szabo_Balazs kilett bannolva a rendszer által, oka: Hibás jelszó!
[12:10:41] [!!FIGYELMEZTETÉS!!]: George_Bush kilett bannolva a rendszer által, oka: Hibás jelszó!
[12:29:50] [!!FIGYELMEZTETÉS!!]: Levy_B_Hollywood kilett bannolva a rendszer által, oka: Hibás jelszó!
[13:35:20] [!!FIGYELMEZTETÉS!!]: James_D_Freeman kilett bannolva a rendszer által, oka: Hibás jelszó!
[13:36:30] [Szerverhírdetés figyelmeztetés] ID: 78, Név: Silas_Escobar, Parancs: /sms
[13:36:30] Szöveg: ((1000 órája volt egy LittleTown nevû rp szrevren)
[14:34:35] [!!FIGYELMEZTETÉS!!]: Daryl_Aciano kilett bannolva a rendszer által, oka: Hibás jelszó!
[15:58:38] [!!FIGYELMEZTETÉS!!]: Dave_R_Vincenzo kilett bannolva a rendszer által, oka: Hibás jelszó!
[16:29:20] [!!FIGYELMEZTETÉS!!]: Kedves_Roland kilett bannolva a rendszer által, oka: Hibás jelszó!
[16:38:28] [!!FIGYELMEZTETÉS!!]: Rick_Aciano kilett bannolva a rendszer által, oka: Hibás jelszó!
[16:51:35] [!!FIGYELMEZTETÉS!!]: Kedves_Roland kilett bannolva a rendszer által, oka: Hibás jelszó!
[17:04:23] [!!FIGYELMEZTETÉS!!]: Felix_Wheeler kilett bannolva a rendszer által, oka: Hibás jelszó!
[17:32:15] [!!FIGYELMEZTETÉS!!]: Kedves_Roland kilett bannolva a rendszer által, oka: Hibás jelszó!
[17:46:26] [!!FIGYELMEZTETÉS!!]: Dibu_S_Tomasso kilett bannolva a rendszer által, oka: Hibás jelszó!
[18:11:30] [!!FIGYELMEZTETÉS!!]: Daniel_Hummerson kilett bannolva a rendszer által, oka: Hibás jelszó!
[18:46:34] [!!FIGYELMEZTETÉS!!]: Dolph_F_Gates kilett bannolva a rendszer által, oka: Hibás jelszó!
[18:53:25] [!!FIGYELMEZTETÉS!!]: James_D_Freeman kilett bannolva a rendszer által, oka: Hibás jelszó!
[19:16:28] [!!FIGYELMEZTETÉS!!]: Jason_Aciano kilett bannolva a rendszer által, oka: Hibás jelszó!
[19:29:48] [!!FIGYELMEZTETÉS!!]: Ekaterina_Kurae kilett bannolva a rendszer által, oka: Hibás jelszó!
[19:40:04] [!!FIGYELMEZTETÉS!!]: Mark_Bishop kilett bannolva a rendszer által, oka: Hibás jelszó!
