[09:01:01] Milinte_Brasco sebzest kapott tole: Marcell_O_Neill | sebzes: M4 (-20.0) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 3.6
[09:01:01] Marcell_O_Neill sebzest kapott tole: Milinte_Brasco | sebzes: AK47 (-40.0) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 3.5
[09:02:57] Marcell_O_Neill sebzest kapott tole: Milinte_Brasco | sebzes: AK47 (-40.0) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 28.3
[09:02:58] Milinte_Brasco sebzest kapott tole: Marcell_O_Neill | sebzes: M4 (-20.0) | E/P: 131.0/0.0 (S: 131.0/0.0) | Tav: 27.7
[09:03:05] Marcell_O_Neill sebzest kapott tole: Milinte_Brasco | sebzes: AK47 (-40.0) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 33.3
[09:03:17] Milinte_Brasco sebzest kapott tole: Marcell_O_Neill | sebzes: M4 (-20.0) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 8.3
[09:03:27] Milinte_Brasco sebzest kapott tole: Marcell_O_Neill | sebzes: M4 (-20.0) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 2.9
[09:03:28] Milinte_Brasco sebzest kapott tole: Marcell_O_Neill | sebzes: M4 (-20.0) | E/P: 130.0/0.0 (S: 130.0/0.0) | Tav: 2.9
[09:03:28] Milinte_Brasco sebzest kapott tole: Marcell_O_Neill | sebzes: M4 (-20.0) | E/P: 110.0/0.0 (S: 110.0/0.0) | Tav: 2.9
[09:03:28] Milinte_Brasco sebzest kapott tole: Marcell_O_Neill | sebzes: M4 (-20.0) | E/P: 90.0/0.0 (S: 90.0/0.0) | Tav: 2.9
[09:03:28] Milinte_Brasco sebzest kapott tole: Marcell_O_Neill | sebzes: M4 (-20.0) | E/P: 70.0/0.0 (S: 70.0/0.0) | Tav: 2.9
[09:03:29] Milinte_Brasco sebzest kapott tole: Marcell_O_Neill | sebzes: M4 (-20.0) | E/P: 50.0/0.0 (S: 50.0/0.0) | Tav: 2.9
[09:03:29] Milinte_Brasco sebzest kapott tole: Marcell_O_Neill | sebzes: M4 (-20.0) | E/P: 30.0/0.0 (S: 30.0/0.0) | Tav: 2.6
