[16:48:58] Ralf_S_Tomasso sebzest kapott tole: William_W_Andrews | sebzes: M4 (-20.0) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 12.9
[16:48:58] William_W_Andrews sebzest kapott tole: Ralf_S_Tomasso | sebzes: M4 (-20.0) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 12.9
[16:48:58] Ralf_S_Tomasso sebzest kapott tole: William_W_Andrews | sebzes: M4 (-20.0) | E/P: 149.0/0.0 (S: 149.0/0.0) | Tav: 12.9
[16:49:11] Edie_Morra sebzest kapott tole: Ralf_S_Tomasso | sebzes: M4 (-20.0) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 16.9
[16:49:16] Edie_Morra sebzest kapott tole: William_W_Andrews | sebzes: M4 (-20.0) | E/P: 0.0/0.0 (S: 0.0/0.0) | Tav: 18.9
[16:49:27] Ralf_S_Tomasso sebzest kapott tole: William_W_Andrews | sebzes: M4 (-20.0) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 16.8
[16:49:27] William_W_Andrews sebzest kapott tole: Ralf_S_Tomasso | sebzes: M4 (-20.0) | E/P: 75.0/0.0 (S: 75.0/0.0) | Tav: 16.8
[16:49:27] Ralf_S_Tomasso sebzest kapott tole: William_W_Andrews | sebzes: M4 (-20.0) | E/P: 136.0/0.0 (S: 136.0/0.0) | Tav: 16.8
[16:49:27] Ralf_S_Tomasso sebzest kapott tole: William_W_Andrews | sebzes: M4 (-20.0) | E/P: 116.0/0.0 (S: 116.0/0.0) | Tav: 16.8
[16:49:28] Ralf_S_Tomasso sebzest kapott tole: William_W_Andrews | sebzes: M4 (-20.0) | E/P: 96.0/0.0 (S: 96.0/0.0) | Tav: 16.8
[16:49:54] William_W_Andrews sebzest kapott tole: Edie_Morra | sebzes: M4 (-20.0) | E/P: 49.0/0.0 (S: 49.0/0.0) | Tav: 25.1
[16:49:58] William_W_Andrews sebzest kapott tole: Edie_Morra | sebzes: M4 (-20.0) | E/P: 0.0/0.0 (S: 0.0/0.0) | Tav: 34.6
[16:49:59] Edie_Morra sebzest kapott tole: William_W_Andrews | sebzes: M4 (-20.0) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 33.1
[16:50:00] William_W_Andrews sebzest kapott tole: Edie_Morra | sebzes: M4 (-20.0) | E/P: 0.0/0.0 (S: 0.0/0.0) | Tav: 31.9
[16:50:00] Edie_Morra sebzest kapott tole: Ralf_S_Tomasso | sebzes: M4 (-20.0) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 36.3
[16:50:16] William_W_Andrews sebzest kapott tole: Edie_Morra | sebzes: M4 (-20.0) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 8.5
[16:50:16] William_W_Andrews sebzest kapott tole: Edie_Morra | sebzes: M4 (-20.0) | E/P: 130.0/0.0 (S: 130.0/0.0) | Tav: 8.5
[16:50:16] William_W_Andrews sebzest kapott tole: Edie_Morra | sebzes: M4 (-20.0) | E/P: 110.0/0.0 (S: 110.0/0.0) | Tav: 8.5
[16:50:16] William_W_Andrews sebzest kapott tole: Edie_Morra | sebzes: M4 (-20.0) | E/P: 90.0/0.0 (S: 90.0/0.0) | Tav: 8.5
[16:50:16] William_W_Andrews sebzest kapott tole: Edie_Morra | sebzes: M4 (-20.0) | E/P: 70.0/0.0 (S: 70.0/0.0) | Tav: 8.5
[16:50:16] William_W_Andrews sebzest kapott tole: Edie_Morra | sebzes: M4 (-20.0) | E/P: 50.0/0.0 (S: 50.0/0.0) | Tav: 8.5
[16:50:17] William_W_Andrews sebzest kapott tole: Edie_Morra | sebzes: M4 (-20.0) | E/P: 30.0/0.0 (S: 30.0/0.0) | Tav: 8.5
[16:50:17] William_W_Andrews sebzest kapott tole: Edie_Morra | sebzes: M4 (-20.0) | E/P: 10.0/0.0 (S: 10.0/0.0) | Tav: 8.5
[16:50:31] William_W_Andrews sebzest kapott tole: Edie_Morra | sebzes: M4 (-20.0) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 42.9
[16:50:38] Edie_Morra sebzest kapott tole: William_W_Andrews | sebzes: M4 (-20.0) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 13.0
[16:50:46] Edie_Morra sebzest kapott tole: Ralf_S_Tomasso | sebzes: M4 (-20.0) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 23.5
[16:50:52] Ralf_S_Tomasso sebzest kapott tole: William_W_Andrews | sebzes: M4 (-20.0) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 22.7
[16:50:52] Ralf_S_Tomasso sebzest kapott tole: William_W_Andrews | sebzes: M4 (-20.0) | E/P: 130.0/0.0 (S: 130.0/0.0) | Tav: 23.2
[16:50:52] Ralf_S_Tomasso sebzest kapott tole: William_W_Andrews | sebzes: M4 (-20.0) | E/P: 110.0/0.0 (S: 110.0/0.0) | Tav: 23.8
[16:51:07] Edie_Morra sebzest kapott tole: William_W_Andrews | sebzes: M4 (-20.0) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 19.5
[16:51:09] William_W_Andrews sebzest kapott tole: Edie_Morra | sebzes: M4 (-20.0) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 17.5
[16:51:09] William_W_Andrews sebzest kapott tole: Edie_Morra | sebzes: M4 (-20.0) | E/P: 130.0/0.0 (S: 130.0/0.0) | Tav: 17.2
[16:51:10] William_W_Andrews sebzest kapott tole: Edie_Morra | sebzes: M4 (-20.0) | E/P: 110.0/0.0 (S: 110.0/0.0) | Tav: 16.9
[16:51:10] Edie_Morra sebzest kapott tole: William_W_Andrews | sebzes: M4 (-20.0) | E/P: 130.0/0.0 (S: 130.0/0.0) | Tav: 16.8
[16:51:10] William_W_Andrews sebzest kapott tole: Edie_Morra | sebzes: M4 (-20.0) | E/P: 90.0/0.0 (S: 90.0/0.0) | Tav: 16.8
[16:51:10] Edie_Morra sebzest kapott tole: William_W_Andrews | sebzes: M4 (-20.0) | E/P: 110.0/0.0 (S: 110.0/0.0) | Tav: 16.8
[16:51:10] Edie_Morra sebzest kapott tole: William_W_Andrews | sebzes: M4 (-20.0) | E/P: 90.0/0.0 (S: 90.0/0.0) | Tav: 16.6
[16:51:10] William_W_Andrews sebzest kapott tole: Edie_Morra | sebzes: M4 (-20.0) | E/P: 107.0/0.0 (S: 107.0/0.0) | Tav: 16.5
