[00:37:12] Dolph_F_Gates sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/150.0 (S: 150.0/150.0) | Tav: 0.9
[00:37:13] Dolph_F_Gates sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.9) | E/P: 150.0/148.6 (S: 150.0/148.6) | Tav: 0.7
[00:37:13] Dolph_F_Gates sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-5.2) | E/P: 150.0/146.6 (S: 150.0/146.6) | Tav: 0.7
[00:37:14] Dolph_F_Gates sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.9) | E/P: 150.0/141.4 (S: 150.0/141.4) | Tav: 0.7
[00:37:15] Dolph_F_Gates sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-5.2) | E/P: 150.0/139.4 (S: 150.0/139.4) | Tav: 0.7
[00:37:16] Dolph_F_Gates sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.9) | E/P: 150.0/134.1 (S: 150.0/134.1) | Tav: 0.8
[00:38:35] Dolph_F_Gates sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-6.6) | E/P: 150.0/132.1 (S: 150.0/132.1) | Tav: 1.1
[00:38:36] Dolph_F_Gates sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-6.6) | E/P: 150.0/125.5 (S: 150.0/125.5) | Tav: 1.1
[00:38:36] Dolph_F_Gates sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-6.6) | E/P: 150.0/118.9 (S: 150.0/118.9) | Tav: 1.1
[00:38:37] Marcell_O_Neill sebzest kapott tole: Dolph_F_Gates | sebzes: Ököl (-1.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 1.0
[00:38:37] Marcell_O_Neill sebzest kapott tole: Dolph_F_Gates | sebzes: Ököl (-2.3) | E/P: 150.0/3.6 (S: 150.0/3.6) | Tav: 0.8
[00:38:38] Marcell_O_Neill sebzest kapott tole: Dolph_F_Gates | sebzes: Ököl (-3.9) | E/P: 150.0/1.3 (S: 150.0/1.3) | Tav: 0.8
[00:38:39] Marcell_O_Neill sebzest kapott tole: Dolph_F_Gates | sebzes: Ököl (-1.3) | E/P: 147.4/0.0 (S: 147.4/0.0) | Tav: 0.8
[00:38:39] Marcell_O_Neill sebzest kapott tole: Dolph_F_Gates | sebzes: Ököl (-2.3) | E/P: 146.0/0.0 (S: 146.0/0.0) | Tav: 0.8
[00:38:40] Marcell_O_Neill sebzest kapott tole: Dolph_F_Gates | sebzes: Ököl (-3.9) | E/P: 143.7/0.0 (S: 143.7/0.0) | Tav: 0.8
[00:38:40] Marcell_O_Neill sebzest kapott tole: Dolph_F_Gates | sebzes: Ököl (-1.3) | E/P: 139.8/0.0 (S: 139.8/0.0) | Tav: 0.7
[00:38:41] Marcell_O_Neill sebzest kapott tole: Dolph_F_Gates | sebzes: Ököl (-2.3) | E/P: 138.4/0.0 (S: 138.4/0.0) | Tav: 0.7
[00:38:41] Marcell_O_Neill sebzest kapott tole: Dolph_F_Gates | sebzes: Ököl (-3.9) | E/P: 136.1/0.0 (S: 136.1/0.0) | Tav: 0.7
