[00:00:34] Valor_Colin sebzest kapott tole: Jefferson_B_Black | sebzes: MP5 (-8.2) | E/P: 141.7/0.0 (S: 141.7/0.0) | Tav: 16.1
[00:00:35] Valor_Colin sebzest kapott tole: Jefferson_B_Black | sebzes: MP5 (-8.2) | E/P: 133.5/0.0 (S: 133.5/0.0) | Tav: 12.4
[00:00:35] Valor_Colin sebzest kapott tole: Jefferson_B_Black | sebzes: MP5 (-8.2) | E/P: 125.2/0.0 (S: 125.2/0.0) | Tav: 13.1
[00:00:36] Valor_Colin sebzest kapott tole: Jefferson_B_Black | sebzes: MP5 (-8.2) | E/P: 117.0/0.0 (S: 117.0/0.0) | Tav: 14.8
[00:02:02] Valor_Colin sebzest kapott tole: Dominic_Vincenzo | sebzes: Shotgun (-9.9) | E/P: 108.7/0.0 (S: 108.7/0.0) | Tav: 16.0
[00:02:03] Valor_Colin sebzest kapott tole: Dominic_Vincenzo | sebzes: Shotgun (-13.2) | E/P: 98.8/0.0 (S: 98.8/0.0) | Tav: 18.9
[00:02:03] Dominic_Vincenzo sebzest kapott tole: Valor_Colin | sebzes: AK47 (-40.0) | E/P: 147.3/5.0 (S: 147.3/5.0) | Tav: 19.0
[00:02:04] Valor_Colin sebzest kapott tole: Dominic_Vincenzo | sebzes: Shotgun (-3.3) | E/P: 85.6/0.0 (S: 85.6/0.0) | Tav: 19.4
[00:02:05] Dominic_Vincenzo sebzest kapott tole: Valor_Colin | sebzes: AK47 (-40.0) | E/P: 112.3/0.0 (S: 112.3/0.0) | Tav: 19.4
[00:02:05] Dominic_Vincenzo sebzest kapott tole: Valor_Colin | sebzes: AK47 (-40.0) | E/P: 72.1/0.0 (S: 72.1/0.0) | Tav: 19.4
[00:02:05] Dominic_Vincenzo sebzest kapott tole: Valor_Colin | sebzes: AK47 (-40.0) | E/P: 32.1/0.0 (S: 32.1/0.0) | Tav: 19.4
[00:04:40] Harold_G_Freeman sebzest kapott tole: Usate_Krukenberg | sebzes: Ököl (-1.9) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 1.4
[00:04:40] Harold_G_Freeman sebzest kapott tole: Usate_Krukenberg | sebzes: Ököl (-5.2) | E/P: 150.0/98.0 (S: 150.0/98.0) | Tav: 0.7
[00:06:10] Tyler_Wish sebzest kapott tole: James_D_Freeman | sebzes: Ököl (-1.3) | E/P: 128.8/0.0 (S: 128.8/0.0) | Tav: 1.3
[00:07:37] Jefferson_B_Black sebzest kapott tole: Valor_Colin | sebzes: AK47 (-40.0) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 59.1
[00:18:53] Daniel_Scaletta sebzest kapott tole: Steve_Aoki | sebzes: MP5 (-8.2) | E/P: 123.0/150.0 (S: 123.0/150.0) | Tav: 7.2
[00:18:54] Daniel_Scaletta sebzest kapott tole: Steve_Aoki | sebzes: MP5 (-8.2) | E/P: 123.0/141.7 (S: 123.0/141.7) | Tav: 6.4
[00:18:54] Daniel_Scaletta sebzest kapott tole: Steve_Aoki | sebzes: MP5 (-8.2) | E/P: 123.0/133.5 (S: 123.0/133.5) | Tav: 5.6
[00:18:54] Daniel_Scaletta sebzest kapott tole: Steve_Aoki | sebzes: MP5 (-8.2) | E/P: 123.0/125.2 (S: 123.0/125.2) | Tav: 5.3
[00:18:54] Leone_S_Tomasso sebzest kapott tole: Felix_Wheeler | sebzes: MP5 (-8.2) | E/P: 114.0/150.0 (S: 114.0/150.0) | Tav: 7.1
[00:18:55] Daniel_Scaletta sebzest kapott tole: Steve_Aoki | sebzes: MP5 (-8.2) | E/P: 123.0/117.0 (S: 123.0/117.0) | Tav: 5.2
[00:18:55] Felix_Wheeler sebzest kapott tole: Leone_S_Tomasso | sebzes: M4 (-20.0) | E/P: 96.7/0.0 (S: 96.7/0.0) | Tav: 7.0
[00:18:55] Leone_S_Tomasso sebzest kapott tole: Felix_Wheeler | sebzes: MP5 (-8.2) | E/P: 114.0/141.7 (S: 114.0/141.7) | Tav: 7.0
[00:18:55] Daniel_Scaletta sebzest kapott tole: Steve_Aoki | sebzes: MP5 (-8.2) | E/P: 123.0/108.7 (S: 123.0/108.7) | Tav: 5.2
[00:18:55] Leone_S_Tomasso sebzest kapott tole: Felix_Wheeler | sebzes: MP5 (-8.2) | E/P: 114.0/133.5 (S: 114.0/133.5) | Tav: 6.9
[00:18:55] Daniel_Scaletta sebzest kapott tole: Steve_Aoki | sebzes: MP5 (-8.2) | E/P: 123.0/100.5 (S: 123.0/100.5) | Tav: 5.2
[00:18:55] Leone_S_Tomasso sebzest kapott tole: Felix_Wheeler | sebzes: MP5 (-8.2) | E/P: 114.0/125.2 (S: 114.0/125.2) | Tav: 6.9
[00:18:55] Leone_S_Tomasso sebzest kapott tole: Felix_Wheeler | sebzes: MP5 (-8.2) | E/P: 114.0/117.0 (S: 114.0/117.0) | Tav: 6.9
[00:18:55] Felix_Wheeler sebzest kapott tole: Leone_S_Tomasso | sebzes: M4 (-20.0) | E/P: 76.7/0.0 (S: 76.7/0.0) | Tav: 6.8
[00:18:55] Daniel_Scaletta sebzest kapott tole: Steve_Aoki | sebzes: MP5 (-8.2) | E/P: 123.0/92.2 (S: 123.0/92.2) | Tav: 5.2
[00:18:56] Steve_Aoki sebzest kapott tole: Daniel_Scaletta | sebzes: M4 (-20.0) | E/P: 138.0/16.1 (S: 138.0/16.1) | Tav: 5.2
[00:18:56] Steve_Aoki sebzest kapott tole: Daniel_Scaletta | sebzes: M4 (-20.0) | E/P: 134.1/0.0 (S: 134.1/0.0) | Tav: 5.3
[00:18:56] Steve_Aoki sebzest kapott tole: Daniel_Scaletta | sebzes: M4 (-20.0) | E/P: 114.1/0.0 (S: 114.1/0.0) | Tav: 5.7
[00:19:13] Felix_Wheeler sebzest kapott tole: Leone_S_Tomasso | sebzes: M4 (-20.0) | E/P: 53.3/0.0 (S: 53.3/0.0) | Tav: 2.0
[00:24:28] Valor_Colin sebzest kapott tole: Zero_Hopkins | sebzes: Ököl (-1.3) | E/P: 82.3/100.0 (S: 82.3/100.0) | Tav: 0.8
[00:29:09] James_D_Freeman sebzest kapott tole: Sidney_Tribiani | sebzes: MP5 (-8.2) | E/P: 120.0/100.0 (S: 120.0/100.0) | Tav: 47.4
[00:29:09] Tyler_Wish sebzest kapott tole: Sidney_Tribiani | sebzes: MP5 (-8.2) | E/P: 120.0/92.0 (S: 120.0/92.0) | Tav: 47.4
[00:29:09] Tyler_Wish sebzest kapott tole: Sidney_Tribiani | sebzes: MP5 (-8.2) | E/P: 150.0/83.7 (S: 150.0/83.7) | Tav: 47.4
[00:33:50] Elwood_JR_Sorrentino sebzest kapott tole: Sidney_Tribiani | sebzes: MP5 (-8.2) | E/P: 30.0/100.0 (S: 30.0/100.0) | Tav: 12.5
[00:33:50] Elwood_JR_Sorrentino sebzest kapott tole: Sidney_Tribiani | sebzes: MP5 (-8.2) | E/P: 0.0/91.7 (S: 0.0/91.7) | Tav: 12.5
[00:38:20] Daniel_Scaletta sebzest kapott tole: Don_Sorrentino | sebzes: Ököl (-2.3) | E/P: 114.0/84.0 (S: 114.0/84.0) | Tav: 1.0
[00:38:21] Daniel_Scaletta sebzest kapott tole: Don_Sorrentino | sebzes: Ököl (-3.9) | E/P: 114.0/81.6 (S: 114.0/81.6) | Tav: 0.6
[00:38:21] Daniel_Scaletta sebzest kapott tole: Don_Sorrentino | sebzes: Ököl (-1.3) | E/P: 114.0/77.7 (S: 114.0/77.7) | Tav: 0.7
[00:38:22] Daniel_Scaletta sebzest kapott tole: Don_Sorrentino | sebzes: Ököl (-1.3) | E/P: 114.0/76.4 (S: 114.0/76.4) | Tav: 0.7
[00:38:22] Daniel_Scaletta sebzest kapott tole: Don_Sorrentino | sebzes: Ököl (-2.3) | E/P: 114.0/75.0 (S: 114.0/75.0) | Tav: 0.6
[00:38:46] Don_Sorrentino sebzest kapott tole: Daniel_Scaletta | sebzes: Ököl (-2.9) | E/P: 150.0/87.4 (S: 150.0/87.4) | Tav: 0.8
[00:43:59] Philip_Skipper sebzest kapott tole: Costa_Miles | sebzes: Ököl (-1.3) | E/P: 39.0/100.0 (S: 39.0/100.0) | Tav: 1.3
