[00:00:46] Marcel_B_Hollywood sebzest kapott tole: Hugo_Toretto | sebzes: M4 (-20.0) | E/P: 150.0/60.0 (S: 150.0/60.0) | Tav: 5.4
[00:00:46] Hugo_Toretto sebzest kapott tole: Marcel_B_Hollywood | sebzes: M4 (-20.0) | E/P: 150.0/38.7 (S: 150.0/38.7) | Tav: 5.4
[00:00:47] Hugo_Toretto sebzest kapott tole: Marcel_B_Hollywood | sebzes: M4 (-20.0) | E/P: 150.0/18.7 (S: 150.0/18.7) | Tav: 5.4
[00:00:51] Johny_Morales sebzest kapott tole: Carlos_D_Surenos | sebzes: Ököl (-1.3) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 10000.0
[00:01:07] Marcel_B_Hollywood sebzest kapott tole: Antonn_Fedorov | sebzes: Sniper (-41.2) | E/P: 150.0/40.0 (S: 150.0/40.0) | Tav: 156.5
[00:01:36] Marcel_B_Hollywood sebzest kapott tole: Antonn_Fedorov | sebzes: M4 (-20.0) | E/P: 143.7/0.0 (S: 143.7/0.0) | Tav: 10.0
[00:01:36] Marcel_B_Hollywood sebzest kapott | sebzes: Zuhanas (-3.3) | E/P: 150.0/0.0 (S: 150.0/0.0)
[00:03:03] Ventura_Zecchin sebzest kapott tole: Levy_B_Hollywood | sebzes: Sniper (-41.2) | E/P: 9.9/0.0 (S: 9.9/0.0) | Tav: 157.7
[00:03:03] Ventura_Zecchin sebzest kapott | sebzes: Zuhanas (-3.3) | E/P: 150.0/0.0 (S: 150.0/0.0)
[00:08:12] Jason_Toretto sebzest kapott tole: Leone_S_Tomasso | sebzes: Ököl (-6.6) | E/P: 150.0/150.0 (S: 150.0/150.0) | Tav: 0.6
[00:08:19] Jason_Toretto sebzest kapott tole: Ralf_S_Tomasso | sebzes: PurpleDildo (-4.6) | E/P: 150.0/143.3 (S: 150.0/143.3) | Tav: 1.1
