[07:50:54] Edie_Morra sebzest kapott tole: Csendes_Marcell | sebzes: Ököl (-1.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 1.1
[07:50:56] Csendes_Marcell sebzest kapott tole: Edie_Morra | sebzes: Ököl (-1.3) | E/P: 81.7/5.0 (S: 81.7/5.0) | Tav: 0.8
[07:54:33] Csendes_Marcell sebzest kapott tole: Edie_Morra | sebzes: Ököl (-1.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.7
[07:54:34] Csendes_Marcell sebzest kapott tole: Edie_Morra | sebzes: Ököl (-5.2) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.7
[07:54:35] Csendes_Marcell sebzest kapott tole: Edie_Morra | sebzes: Ököl (-1.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.9
[07:54:36] Csendes_Marcell sebzest kapott tole: Edie_Morra | sebzes: Ököl (-5.2) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.6
[07:54:38] Edie_Morra sebzest kapott tole: Csendes_Marcell | sebzes: Ököl (-1.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.7
[08:18:14] William_W_Andrews sebzest kapott tole: Barney_Stinson | sebzes: Ököl (-1.3) | E/P: 68.7/0.0 (S: 68.7/0.0) | Tav: 0.5
[08:18:17] William_W_Andrews sebzest kapott tole: Barney_Stinson | sebzes: Ököl (-1.3) | E/P: 68.7/0.0 (S: 68.7/0.0) | Tav: 0.6
[08:18:18] William_W_Andrews sebzest kapott tole: Barney_Stinson | sebzes: Ököl (-1.3) | E/P: 68.7/0.0 (S: 68.7/0.0) | Tav: 1.0
[08:18:18] William_W_Andrews sebzest kapott tole: Barney_Stinson | sebzes: Ököl (-1.3) | E/P: 68.7/0.0 (S: 68.7/0.0) | Tav: 0.8
[08:18:19] Barney_Stinson sebzest kapott tole: William_W_Andrews | sebzes: Ököl (-1.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.9
[08:18:19] William_W_Andrews sebzest kapott tole: Barney_Stinson | sebzes: Ököl (-1.3) | E/P: 68.7/0.0 (S: 68.7/0.0) | Tav: 0.7
[08:18:20] Barney_Stinson sebzest kapott tole: William_W_Andrews | sebzes: Ököl (-5.2) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.5
[08:18:20] William_W_Andrews sebzest kapott tole: Barney_Stinson | sebzes: Ököl (-1.3) | E/P: 68.7/0.0 (S: 68.7/0.0) | Tav: 0.5
[08:18:20] William_W_Andrews sebzest kapott tole: Barney_Stinson | sebzes: Ököl (-1.3) | E/P: 68.7/0.0 (S: 68.7/0.0) | Tav: 0.6
[08:18:21] Barney_Stinson sebzest kapott tole: William_W_Andrews | sebzes: Ököl (-6.6) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.6
[08:18:21] William_W_Andrews sebzest kapott tole: Barney_Stinson | sebzes: Ököl (-1.3) | E/P: 68.7/0.0 (S: 68.7/0.0) | Tav: 0.7
[08:18:21] Barney_Stinson sebzest kapott tole: William_W_Andrews | sebzes: Ököl (-6.6) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.7
[08:18:21] William_W_Andrews sebzest kapott tole: Barney_Stinson | sebzes: Ököl (-2.3) | E/P: 68.7/0.0 (S: 68.7/0.0) | Tav: 0.7
[08:18:21] Barney_Stinson sebzest kapott tole: William_W_Andrews | sebzes: Ököl (-6.6) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.7
[08:18:22] William_W_Andrews sebzest kapott tole: Barney_Stinson | sebzes: Ököl (-3.9) | E/P: 68.7/0.0 (S: 68.7/0.0) | Tav: 0.7
[08:18:22] Barney_Stinson sebzest kapott tole: William_W_Andrews | sebzes: Ököl (-1.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.6
[08:18:23] Barney_Stinson sebzest kapott tole: William_W_Andrews | sebzes: Ököl (-5.2) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.6
[08:18:24] Barney_Stinson sebzest kapott tole: William_W_Andrews | sebzes: Ököl (-6.6) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 1.3
[08:18:34] William_W_Andrews sebzest kapott tole: Barney_Stinson | sebzes: Ököl (-1.3) | E/P: 68.7/0.0 (S: 68.7/0.0) | Tav: 0.7
