[08:41:04] William_W_Andrews sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.8
[08:41:05] William_W_Andrews sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.7
[08:41:05] William_W_Andrews sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.7
[08:41:06] William_W_Andrews sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.7
[08:41:06] William_W_Andrews sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.7
[08:41:07] William_W_Andrews sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.7
[08:41:09] William_W_Andrews sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.7
[08:41:09] William_W_Andrews sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.7
[08:41:09] William_W_Andrews sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-2.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.7
[08:41:11] William_W_Andrews sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-5.2) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 1.0
[08:41:12] William_W_Andrews sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.7
[08:41:13] William_W_Andrews sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-5.2) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.7
[08:41:14] William_W_Andrews sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.9
[08:41:15] William_W_Andrews sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-5.2) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.9
[08:41:15] William_W_Andrews sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.9
[08:41:16] William_W_Andrews sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-5.2) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.9
[09:01:01] Milinte_Brasco sebzest kapott tole: Marcell_O_Neill | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 3.6
[09:01:01] Marcell_O_Neill sebzest kapott tole: Milinte_Brasco | sebzes: AK47 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 3.5
[09:01:01] Marcell_O_Neill sebzest kapott tole: Milinte_Brasco | sebzes: AK47 (-9.9) | E/P: 0.0/0.0 (S: 0.0/0.0) | Tav: 3.5
[09:01:08] Marcell_O_Neill sebzest kapott tole: Milinte_Brasco | sebzes: AK47 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 40.7
[09:02:57] Marcell_O_Neill sebzest kapott tole: Milinte_Brasco | sebzes: AK47 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 28.3
[09:02:58] Milinte_Brasco sebzest kapott tole: Marcell_O_Neill | sebzes: M4 (-9.9) | E/P: 131.0/0.0 (S: 131.0/0.0) | Tav: 27.7
[09:03:05] Marcell_O_Neill sebzest kapott tole: Milinte_Brasco | sebzes: AK47 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 33.3
[09:03:17] Milinte_Brasco sebzest kapott tole: Marcell_O_Neill | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 8.3
[09:03:27] Milinte_Brasco sebzest kapott tole: Marcell_O_Neill | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 2.9
[09:03:28] Milinte_Brasco sebzest kapott tole: Marcell_O_Neill | sebzes: M4 (-9.9) | E/P: 130.0/0.0 (S: 130.0/0.0) | Tav: 2.9
[09:03:28] Milinte_Brasco sebzest kapott tole: Marcell_O_Neill | sebzes: M4 (-9.9) | E/P: 110.0/0.0 (S: 110.0/0.0) | Tav: 2.9
[09:03:28] Milinte_Brasco sebzest kapott tole: Marcell_O_Neill | sebzes: M4 (-9.9) | E/P: 90.0/0.0 (S: 90.0/0.0) | Tav: 2.9
[09:03:28] Milinte_Brasco sebzest kapott tole: Marcell_O_Neill | sebzes: M4 (-9.9) | E/P: 70.0/0.0 (S: 70.0/0.0) | Tav: 2.9
[09:03:29] Milinte_Brasco sebzest kapott tole: Marcell_O_Neill | sebzes: M4 (-9.9) | E/P: 50.0/0.0 (S: 50.0/0.0) | Tav: 2.9
[09:03:29] Milinte_Brasco sebzest kapott tole: Marcell_O_Neill | sebzes: M4 (-9.9) | E/P: 30.0/0.0 (S: 30.0/0.0) | Tav: 2.6
[09:03:29] Milinte_Brasco sebzest kapott tole: Marcell_O_Neill | sebzes: M4 (-9.9) | E/P: 10.0/0.0 (S: 10.0/0.0) | Tav: 2.6
[09:03:39] Marcell_O_Neill sebzest kapott tole: Milinte_Brasco | sebzes: AK47 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 18.8
[09:03:39] Marcell_O_Neill sebzest kapott tole: Milinte_Brasco | sebzes: AK47 (-9.9) | E/P: 110.0/0.0 (S: 110.0/0.0) | Tav: 18.7
[09:03:39] Milinte_Brasco sebzest kapott tole: Marcell_O_Neill | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 18.6
[09:03:46] Marcell_O_Neill sebzest kapott tole: Milinte_Brasco | sebzes: AK47 (-9.9) | E/P: 94.0/0.0 (S: 94.0/0.0) | Tav: 11.9
[09:03:47] Marcell_O_Neill sebzest kapott tole: Milinte_Brasco | sebzes: AK47 (-9.9) | E/P: 0.0/0.0 (S: 0.0/0.0) | Tav: 11.9
[09:03:55] Marcell_O_Neill sebzest kapott tole: Milinte_Brasco | sebzes: AK47 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 20.7
[09:04:04] Marcell_O_Neill sebzest kapott tole: Milinte_Brasco | sebzes: AK47 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 11.2
[09:04:04] Marcell_O_Neill sebzest kapott tole: Milinte_Brasco | sebzes: AK47 (-9.9) | E/P: 110.0/0.0 (S: 110.0/0.0) | Tav: 11.9
[09:04:06] Marcell_O_Neill sebzest kapott tole: Milinte_Brasco | sebzes: AK47 (-9.9) | E/P: 70.0/0.0 (S: 70.0/0.0) | Tav: 17.6
[09:04:06] Marcell_O_Neill sebzest kapott tole: Milinte_Brasco | sebzes: AK47 (-9.9) | E/P: 30.0/0.0 (S: 30.0/0.0) | Tav: 18.1
[09:04:13] Marcell_O_Neill sebzest kapott tole: Milinte_Brasco | sebzes: AK47 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 17.3
[09:04:14] Marcell_O_Neill sebzest kapott tole: Milinte_Brasco | sebzes: AK47 (-9.9) | E/P: 110.0/0.0 (S: 110.0/0.0) | Tav: 16.4
[09:04:14] Milinte_Brasco sebzest kapott tole: Marcell_O_Neill | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 16.3
[09:04:14] Milinte_Brasco sebzest kapott tole: Marcell_O_Neill | sebzes: M4 (-9.9) | E/P: 130.0/0.0 (S: 130.0/0.0) | Tav: 16.2
[09:04:15] Marcell_O_Neill sebzest kapott tole: Milinte_Brasco | sebzes: AK47 (-9.9) | E/P: 70.0/0.0 (S: 70.0/0.0) | Tav: 16.1
[09:04:20] Milinte_Brasco sebzest kapott tole: Marcell_O_Neill | sebzes: M4 (-9.9) | E/P: 149.0/0.0 (S: 149.0/0.0) | Tav: 18.2
[09:04:21] Milinte_Brasco sebzest kapott tole: Marcell_O_Neill | sebzes: M4 (-9.9) | E/P: 0.0/0.0 (S: 0.0/0.0) | Tav: 18.3
[09:04:36] Marcell_O_Neill sebzest kapott tole: Milinte_Brasco | sebzes: AK47 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 26.1
[09:04:36] Marcell_O_Neill sebzest kapott tole: Milinte_Brasco | sebzes: AK47 (-9.9) | E/P: 110.0/0.0 (S: 110.0/0.0) | Tav: 26.1
[09:04:36] Marcell_O_Neill sebzest kapott tole: Milinte_Brasco | sebzes: AK47 (-9.9) | E/P: 70.0/0.0 (S: 70.0/0.0) | Tav: 26.1
