[12:29:05] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 1.2
[12:29:05] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 148.6/0.0 (S: 148.6/0.0) | Tav: 1.2
[12:29:06] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 147.3/0.0 (S: 147.3/0.0) | Tav: 1.2
[12:29:06] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 146.0/0.0 (S: 146.0/0.0) | Tav: 1.2
[12:29:07] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 144.7/0.0 (S: 144.7/0.0) | Tav: 1.2
[12:29:08] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 143.3/0.0 (S: 143.3/0.0) | Tav: 1.2
[12:29:08] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 142.0/0.0 (S: 142.0/0.0) | Tav: 1.2
[12:29:09] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 140.7/0.0 (S: 140.7/0.0) | Tav: 1.2
[12:29:09] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 139.4/0.0 (S: 139.4/0.0) | Tav: 1.2
[12:29:10] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 138.1/0.0 (S: 138.1/0.0) | Tav: 1.2
[12:29:10] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 136.7/0.0 (S: 136.7/0.0) | Tav: 1.2
[12:29:11] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 135.4/0.0 (S: 135.4/0.0) | Tav: 1.2
[12:29:12] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 134.1/0.0 (S: 134.1/0.0) | Tav: 1.2
[12:29:12] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 132.8/0.0 (S: 132.8/0.0) | Tav: 1.2
[12:29:13] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 131.5/0.0 (S: 131.5/0.0) | Tav: 1.2
[12:29:13] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 130.1/0.0 (S: 130.1/0.0) | Tav: 1.2
[12:29:14] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 128.8/0.0 (S: 128.8/0.0) | Tav: 1.2
[12:29:14] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 127.5/0.0 (S: 127.5/0.0) | Tav: 1.2
[12:29:15] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 126.2/0.0 (S: 126.2/0.0) | Tav: 1.2
[12:29:16] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 124.9/0.0 (S: 124.9/0.0) | Tav: 1.2
[12:29:16] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-2.3) | E/P: 123.5/0.0 (S: 123.5/0.0) | Tav: 1.2
[12:29:17] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-3.9) | E/P: 121.2/0.0 (S: 121.2/0.0) | Tav: 1.2
[12:29:18] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 117.3/0.0 (S: 117.3/0.0) | Tav: 1.2
[12:29:18] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 116.0/0.0 (S: 116.0/0.0) | Tav: 1.2
[12:29:18] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-2.3) | E/P: 114.6/0.0 (S: 114.6/0.0) | Tav: 1.2
[12:29:19] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-3.9) | E/P: 112.3/0.0 (S: 112.3/0.0) | Tav: 1.2
[12:29:20] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 108.4/0.0 (S: 108.4/0.0) | Tav: 1.2
[12:29:21] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 107.0/0.0 (S: 107.0/0.0) | Tav: 1.2
[12:29:32] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 105.7/0.0 (S: 105.7/0.0) | Tav: 1.1
[12:29:34] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 104.4/0.0 (S: 104.4/0.0) | Tav: 1.1
[12:29:35] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 103.1/0.0 (S: 103.1/0.0) | Tav: 1.1
[12:29:36] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 101.8/0.0 (S: 101.8/0.0) | Tav: 1.1
[12:29:36] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 100.4/0.0 (S: 100.4/0.0) | Tav: 1.1
[12:29:37] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 99.1/0.0 (S: 99.1/0.0) | Tav: 1.1
[12:29:37] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 97.8/0.0 (S: 97.8/0.0) | Tav: 1.1
[12:29:38] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 96.5/0.0 (S: 96.5/0.0) | Tav: 1.1
[12:29:38] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 95.2/0.0 (S: 95.2/0.0) | Tav: 1.1
[12:29:39] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 93.8/0.0 (S: 93.8/0.0) | Tav: 1.1
[12:29:40] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 92.5/0.0 (S: 92.5/0.0) | Tav: 1.1
[12:29:40] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-2.3) | E/P: 91.2/0.0 (S: 91.2/0.0) | Tav: 1.1
[12:29:41] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-3.9) | E/P: 88.9/0.0 (S: 88.9/0.0) | Tav: 1.1
[12:29:41] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 84.9/0.0 (S: 84.9/0.0) | Tav: 1.1
[12:29:42] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 83.6/0.0 (S: 83.6/0.0) | Tav: 1.1
[12:29:42] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-2.3) | E/P: 82.3/0.0 (S: 82.3/0.0) | Tav: 1.1
[12:29:43] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 80.0/0.0 (S: 80.0/0.0) | Tav: 1.1
[12:29:44] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 78.7/0.0 (S: 78.7/0.0) | Tav: 1.1
[12:29:45] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 77.3/0.0 (S: 77.3/0.0) | Tav: 1.1
[12:29:45] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 76.0/0.0 (S: 76.0/0.0) | Tav: 1.1
[12:29:46] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 74.7/0.0 (S: 74.7/0.0) | Tav: 1.1
[12:29:47] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 73.4/0.0 (S: 73.4/0.0) | Tav: 1.1
[12:29:47] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 72.1/0.0 (S: 72.1/0.0) | Tav: 1.1
[12:29:48] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 70.7/0.0 (S: 70.7/0.0) | Tav: 1.1
[12:29:49] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 69.4/0.0 (S: 69.4/0.0) | Tav: 1.1
[12:29:49] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 68.1/0.0 (S: 68.1/0.0) | Tav: 1.1
[12:29:50] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 66.8/0.0 (S: 66.8/0.0) | Tav: 1.1
[12:29:50] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 65.5/0.0 (S: 65.5/0.0) | Tav: 1.1
[12:29:51] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 64.1/0.0 (S: 64.1/0.0) | Tav: 1.1
[12:29:51] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 62.8/0.0 (S: 62.8/0.0) | Tav: 1.1
