[00:00:12] Aldo_B_Dueno sebzest kapott tole: Steve_Aoki | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 14.6
[00:00:13] Aldo_B_Dueno sebzest kapott tole: Steve_Aoki | sebzes: M4 (-9.9) | E/P: 130.0/0.0 (S: 130.0/0.0) | Tav: 18.5
[00:00:17] Steve_Aoki sebzest kapott tole: Kiraly_Viktor | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 21.5
[00:00:21] Tyler_Wish sebzest kapott tole: Aldo_B_Dueno | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 38.8
[00:00:21] Tyler_Wish sebzest kapott tole: Aldo_B_Dueno | sebzes: M4 (-9.9) | E/P: 0.0/0.0 (S: 0.0/0.0) | Tav: 39.1
[00:00:25] Steve_Aoki sebzest kapott tole: Aldo_B_Dueno | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 29.3
[00:00:25] Steve_Aoki sebzest kapott tole: Aldo_B_Dueno | sebzes: M4 (-9.9) | E/P: 0.0/0.0 (S: 0.0/0.0) | Tav: 29.6
[00:00:29] Tyler_Wish sebzest kapott tole: Kiraly_Viktor | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 14.4
[00:00:35] Kiraly_Viktor sebzest kapott tole: Aldo_B_Dueno | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 36.0
[00:00:35] Kiraly_Viktor sebzest kapott tole: Aldo_B_Dueno | sebzes: M4 (-9.9) | E/P: 0.0/0.0 (S: 0.0/0.0) | Tav: 36.0
[00:00:35] Kiraly_Viktor sebzest kapott tole: Steve_Aoki | sebzes: M4 (-9.9) | E/P: 0.0/0.0 (S: 0.0/0.0) | Tav: 22.9
[00:00:39] Aldo_B_Dueno sebzest kapott tole: Steve_Aoki | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 25.8
[00:00:39] Steve_Aoki sebzest kapott tole: Aldo_B_Dueno | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 25.8
[00:00:39] Aldo_B_Dueno sebzest kapott tole: Steve_Aoki | sebzes: M4 (-9.9) | E/P: 134.0/0.0 (S: 134.0/0.0) | Tav: 25.8
[00:00:39] Steve_Aoki sebzest kapott tole: Aldo_B_Dueno | sebzes: M4 (-9.9) | E/P: 0.0/0.0 (S: 0.0/0.0) | Tav: 25.8
[00:00:52] Kiraly_Viktor sebzest kapott tole: Aldo_B_Dueno | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 33.5
[00:00:53] Kiraly_Viktor sebzest kapott tole: Aldo_B_Dueno | sebzes: M4 (-9.9) | E/P: 130.0/0.0 (S: 130.0/0.0) | Tav: 33.4
[00:00:55] Aldo_B_Dueno sebzest kapott tole: Steve_Aoki | sebzes: M4 (-9.9) | E/P: 115.0/0.0 (S: 115.0/0.0) | Tav: 34.7
[00:00:56] Aldo_B_Dueno sebzest kapott tole: Steve_Aoki | sebzes: M4 (-9.9) | E/P: 95.0/0.0 (S: 95.0/0.0) | Tav: 34.7
[00:00:56] Aldo_B_Dueno sebzest kapott tole: Steve_Aoki | sebzes: M4 (-9.9) | E/P: 0.0/0.0 (S: 0.0/0.0) | Tav: 34.7
[00:01:06] Steve_Aoki sebzest kapott tole: Kiraly_Viktor | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 13.6
[00:01:06] Kiraly_Viktor sebzest kapott tole: Steve_Aoki | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 13.6
[00:01:06] Kiraly_Viktor sebzest kapott tole: Steve_Aoki | sebzes: M4 (-9.9) | E/P: 0.0/0.0 (S: 0.0/0.0) | Tav: 13.6
[00:01:06] Kiraly_Viktor sebzest kapott tole: Steve_Aoki | sebzes: M4 (-9.9) | E/P: 0.0/0.0 (S: 0.0/0.0) | Tav: 13.7
[00:01:08] Steve_Aoki sebzest kapott tole: Aldo_B_Dueno | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 20.4
[00:01:08] Steve_Aoki sebzest kapott tole: Aldo_B_Dueno | sebzes: M4 (-9.9) | E/P: 0.0/0.0 (S: 0.0/0.0) | Tav: 20.4
[00:01:08] Steve_Aoki sebzest kapott tole: Aldo_B_Dueno | sebzes: M4 (-9.9) | E/P: 0.0/0.0 (S: 0.0/0.0) | Tav: 20.4
[00:01:20] Aldo_B_Dueno sebzest kapott tole: Tyler_Wish | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 88.0
[00:01:22] Kiraly_Viktor sebzest kapott tole: Steve_Aoki | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 42.4
[00:01:22] Aldo_B_Dueno sebzest kapott tole: Tyler_Wish | sebzes: M4 (-9.9) | E/P: 130.0/0.0 (S: 130.0/0.0) | Tav: 87.8
[00:01:22] Aldo_B_Dueno sebzest kapott tole: Tyler_Wish | sebzes: M4 (-9.9) | E/P: 110.0/0.0 (S: 110.0/0.0) | Tav: 86.9
[00:01:23] Aldo_B_Dueno sebzest kapott tole: Tyler_Wish | sebzes: M4 (-9.9) | E/P: 90.0/0.0 (S: 90.0/0.0) | Tav: 86.7
[00:01:23] Aldo_B_Dueno sebzest kapott tole: Tyler_Wish | sebzes: M4 (-9.9) | E/P: 70.0/0.0 (S: 70.0/0.0) | Tav: 86.4
[00:01:29] Steve_Aoki sebzest kapott tole: Tyler_Wish | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 47.4
[00:01:29] Steve_Aoki sebzest kapott tole: Tyler_Wish | sebzes: M4 (-9.9) | E/P: 130.0/0.0 (S: 130.0/0.0) | Tav: 46.9
[00:01:29] Steve_Aoki sebzest kapott tole: Tyler_Wish | sebzes: M4 (-9.9) | E/P: 110.0/0.0 (S: 110.0/0.0) | Tav: 46.3
[00:01:29] Steve_Aoki sebzest kapott tole: Tyler_Wish | sebzes: M4 (-9.9) | E/P: 0.0/0.0 (S: 0.0/0.0) | Tav: 46.0
[00:01:34] Kiraly_Viktor sebzest kapott tole: Tyler_Wish | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 48.6
[00:01:34] Kiraly_Viktor sebzest kapott tole: Tyler_Wish | sebzes: M4 (-9.9) | E/P: 130.0/0.0 (S: 130.0/0.0) | Tav: 48.7
[00:01:37] Kiraly_Viktor sebzest kapott tole: Tyler_Wish | sebzes: M4 (-9.9) | E/P: 110.0/0.0 (S: 110.0/0.0) | Tav: 40.8
[00:01:38] Kiraly_Viktor sebzest kapott tole: Tyler_Wish | sebzes: M4 (-9.9) | E/P: 90.0/0.0 (S: 90.0/0.0) | Tav: 40.8
[00:01:38] Kiraly_Viktor sebzest kapott tole: Tyler_Wish | sebzes: M4 (-9.9) | E/P: 70.0/0.0 (S: 70.0/0.0) | Tav: 40.8
[00:01:38] Steve_Aoki sebzest kapott tole: Kiraly_Viktor | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 24.8
[00:01:38] Kiraly_Viktor sebzest kapott tole: Tyler_Wish | sebzes: M4 (-9.9) | E/P: 50.0/0.0 (S: 50.0/0.0) | Tav: 40.8
[00:01:39] Kiraly_Viktor sebzest kapott tole: Tyler_Wish | sebzes: M4 (-9.9) | E/P: 30.0/0.0 (S: 30.0/0.0) | Tav: 40.8
[00:01:39] Kiraly_Viktor sebzest kapott tole: Tyler_Wish | sebzes: M4 (-9.9) | E/P: 10.0/0.0 (S: 10.0/0.0) | Tav: 40.8
[00:01:39] Kiraly_Viktor sebzest kapott tole: Tyler_Wish | sebzes: M4 (-9.9) | E/P: 0.0/0.0 (S: 0.0/0.0) | Tav: 40.8
[00:01:44] Steve_Aoki sebzest kapott tole: Tyler_Wish | sebzes: M4 (-9.9) | E/P: 130.0/0.0 (S: 130.0/0.0) | Tav: 38.0
[00:01:44] Steve_Aoki sebzest kapott tole: Tyler_Wish | sebzes: M4 (-9.9) | E/P: 110.0/0.0 (S: 110.0/0.0) | Tav: 37.9
[00:01:45] Marcell_O_Neill sebzest kapott tole: Connor_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 1.4
[00:01:50] Aldo_B_Dueno sebzest kapott tole: Kiraly_Viktor | sebzes: M4 (-9.9) | E/P: 35.0/0.0 (S: 35.0/0.0) | Tav: 13.2
[00:01:50] Aldo_B_Dueno sebzest kapott tole: Kiraly_Viktor | sebzes: M4 (-9.9) | E/P: 0.0/0.0 (S: 0.0/0.0) | Tav: 11.9
[00:01:54] Kiraly_Viktor sebzest kapott tole: Steve_Aoki | sebzes: MP5 (-8.2) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 33.9
[00:01:54] Kiraly_Viktor sebzest kapott tole: Steve_Aoki | sebzes: MP5 (-8.2) | E/P: 141.7/0.0 (S: 141.7/0.0) | Tav: 35.0
[00:01:55] Kiraly_Viktor sebzest kapott tole: Steve_Aoki | sebzes: MP5 (-8.2) | E/P: 133.5/0.0 (S: 133.5/0.0) | Tav: 35.7
