[00:03:36] Rusznyak_Peter sebzest kapott tole: Tony_Stonem | sebzes: Ököl (-1.3) | E/P: 30.0/1.0 (S: 30.0/1.0) | Tav: 0.6
[00:03:59] Rusznyak_Peter sebzest kapott tole: Tony_Stonem | sebzes: Ököl (-1.3) | E/P: 29.7/0.0 (S: 29.7/0.0) | Tav: 0.7
[00:08:19] Edie_Morra sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 1.0
[00:08:20] Marcell_O_Neill sebzest kapott tole: Edie_Morra | sebzes: Ököl (-1.9) | E/P: 99.0/5.0 (S: 99.0/5.0) | Tav: 1.2
[00:08:21] Marcell_O_Neill sebzest kapott tole: Edie_Morra | sebzes: Ököl (-5.2) | E/P: 99.0/3.0 (S: 99.0/3.0) | Tav: 1.3
[00:08:22] Marcell_O_Neill sebzest kapott tole: Edie_Morra | sebzes: Ököl (-6.6) | E/P: 96.7/0.0 (S: 96.7/0.0) | Tav: 0.9
[00:08:22] Marcell_O_Neill sebzest kapott tole: Edie_Morra | sebzes: Ököl (-6.6) | E/P: 90.1/0.0 (S: 90.1/0.0) | Tav: 0.9
[00:08:25] Edie_Morra sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-2.3) | E/P: 150.0/3.6 (S: 150.0/3.6) | Tav: 1.3
[00:08:25] Edie_Morra sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-3.9) | E/P: 150.0/1.3 (S: 150.0/1.3) | Tav: 0.8
[00:08:27] Edie_Morra sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-5.2) | E/P: 147.4/0.0 (S: 147.4/0.0) | Tav: 0.6
[00:08:27] Marcell_O_Neill sebzest kapott tole: Edie_Morra | sebzes: Ököl (-5.2) | E/P: 83.5/0.0 (S: 83.5/0.0) | Tav: 0.6
[00:08:28] Marcell_O_Neill sebzest kapott tole: Edie_Morra | sebzes: Ököl (-1.9) | E/P: 78.2/0.0 (S: 78.2/0.0) | Tav: 0.7
[00:08:29] Edie_Morra sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.9) | E/P: 142.1/0.0 (S: 142.1/0.0) | Tav: 0.6
[00:08:29] Marcell_O_Neill sebzest kapott tole: Edie_Morra | sebzes: Ököl (-1.9) | E/P: 76.2/0.0 (S: 76.2/0.0) | Tav: 0.7
[00:08:29] Edie_Morra sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-5.2) | E/P: 140.1/0.0 (S: 140.1/0.0) | Tav: 0.6
[00:08:30] Marcell_O_Neill sebzest kapott tole: Edie_Morra | sebzes: Ököl (-5.2) | E/P: 74.2/0.0 (S: 74.2/0.0) | Tav: 0.7
[00:08:31] Edie_Morra sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 134.8/0.0 (S: 134.8/0.0) | Tav: 0.5
[00:08:31] Edie_Morra sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.9) | E/P: 133.5/0.0 (S: 133.5/0.0) | Tav: 0.5
[00:08:32] Edie_Morra sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.9) | E/P: 131.5/0.0 (S: 131.5/0.0) | Tav: 0.7
[00:08:32] Marcell_O_Neill sebzest kapott tole: Edie_Morra | sebzes: Ököl (-5.2) | E/P: 69.0/0.0 (S: 69.0/0.0) | Tav: 0.6
[00:08:33] Edie_Morra sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.9) | E/P: 129.5/0.0 (S: 129.5/0.0) | Tav: 0.6
[00:08:34] Edie_Morra sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-5.2) | E/P: 127.6/0.0 (S: 127.6/0.0) | Tav: 0.7
[00:08:34] Marcell_O_Neill sebzest kapott tole: Edie_Morra | sebzes: Ököl (-1.9) | E/P: 63.7/0.0 (S: 63.7/0.0) | Tav: 0.7
[00:08:35] Edie_Morra sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.9) | E/P: 122.3/0.0 (S: 122.3/0.0) | Tav: 0.8
[00:08:35] Edie_Morra sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-5.2) | E/P: 120.3/0.0 (S: 120.3/0.0) | Tav: 0.8
[00:08:36] Edie_Morra sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-6.6) | E/P: 115.0/0.0 (S: 115.0/0.0) | Tav: 1.2
[00:08:37] Edie_Morra sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-6.6) | E/P: 108.4/0.0 (S: 108.4/0.0) | Tav: 1.4
[00:08:38] Edie_Morra sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-6.6) | E/P: 101.8/0.0 (S: 101.8/0.0) | Tav: 1.4
[00:08:38] Edie_Morra sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.9) | E/P: 95.2/0.0 (S: 95.2/0.0) | Tav: 1.2
[00:08:57] Edie_Morra sebzest kapott tole: Angelina_Freeman | sebzes: Ököl (-1.3) | E/P: 93.2/0.0 (S: 93.2/0.0) | Tav: 0.7
[00:09:02] Angelina_Freeman sebzest kapott tole: Edie_Morra | sebzes: Ököl (-1.3) | E/P: 129.0/5.0 (S: 129.0/5.0) | Tav: 0.7
