[01:18:01] Elwood_JR_Sorrentino sebzest kapott tole: Krisztofer_Vincenzo | sebzes: Ököl (-1.3) | E/P: 105.0/98.6 (S: 105.0/98.6) | Tav: 0.8
[01:18:54] Krisztofer_Vincenzo sebzest kapott tole: Elwood_JR_Sorrentino | sebzes: Ököl (-2.3) | E/P: 150.0/97.3 (S: 150.0/97.3) | Tav: 0.7
[01:19:10] Elwood_JR_Sorrentino sebzest kapott tole: Henrik_T_Scaletta | sebzes: Ököl (-1.3) | E/P: 105.0/97.3 (S: 105.0/97.3) | Tav: 0.8
[01:19:11] Elwood_JR_Sorrentino sebzest kapott tole: Henrik_T_Scaletta | sebzes: Ököl (-1.3) | E/P: 105.0/96.0 (S: 105.0/96.0) | Tav: 0.6
[01:19:12] Elwood_JR_Sorrentino sebzest kapott tole: Henrik_T_Scaletta | sebzes: Ököl (-1.3) | E/P: 105.0/94.7 (S: 105.0/94.7) | Tav: 0.9
[01:19:12] Krisztofer_Vincenzo sebzest kapott tole: Henrik_T_Scaletta | sebzes: Ököl (-1.3) | E/P: 150.0/95.0 (S: 150.0/95.0) | Tav: 1.3
[01:19:13] Elwood_JR_Sorrentino sebzest kapott tole: Henrik_T_Scaletta | sebzes: Ököl (-1.3) | E/P: 105.0/93.4 (S: 105.0/93.4) | Tav: 0.6
[01:19:13] Elwood_JR_Sorrentino sebzest kapott tole: Henrik_T_Scaletta | sebzes: Ököl (-1.3) | E/P: 105.0/92.0 (S: 105.0/92.0) | Tav: 1.1
[01:21:09] Elwood_JR_Sorrentino sebzest kapott tole: Henrik_T_Scaletta | sebzes: Ököl (-1.3) | E/P: 105.0/90.7 (S: 105.0/90.7) | Tav: 0.7
[01:24:01] Marcell_O_Neill sebzest kapott tole: Milinte_Brasco | sebzes: Ököl (-1.3) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 1.0
[01:24:26] Marcell_O_Neill sebzest kapott tole: Milinte_Brasco | sebzes: Ököl (-1.3) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.8
[01:24:27] Marcell_O_Neill sebzest kapott tole: Milinte_Brasco | sebzes: Ököl (-1.3) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.8
[01:24:27] Marcell_O_Neill sebzest kapott tole: Milinte_Brasco | sebzes: Ököl (-2.3) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.7
[01:27:03] Elwood_JR_Sorrentino sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 105.0/89.4 (S: 105.0/89.4) | Tav: 0.8
[01:27:03] Elwood_JR_Sorrentino sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-2.3) | E/P: 105.0/88.1 (S: 105.0/88.1) | Tav: 0.9
[01:27:05] Marcell_O_Neill sebzest kapott tole: Elwood_JR_Sorrentino | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 2.4
[01:30:31] Elwood_JR_Sorrentino sebzest kapott tole: Milinte_Brasco | sebzes: Ököl (-1.3) | E/P: 105.0/100.0 (S: 105.0/100.0) | Tav: 0.6
[01:30:32] Elwood_JR_Sorrentino sebzest kapott tole: Milinte_Brasco | sebzes: Ököl (-1.3) | E/P: 105.0/100.0 (S: 105.0/100.0) | Tav: 0.6
[01:30:32] Elwood_JR_Sorrentino sebzest kapott tole: Milinte_Brasco | sebzes: Ököl (-1.3) | E/P: 105.0/100.0 (S: 105.0/100.0) | Tav: 0.6
[01:30:33] Elwood_JR_Sorrentino sebzest kapott tole: Milinte_Brasco | sebzes: Ököl (-1.3) | E/P: 105.0/100.0 (S: 105.0/100.0) | Tav: 0.6
[01:30:33] Milinte_Brasco sebzest kapott tole: Elwood_JR_Sorrentino | sebzes: Ököl (-1.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 1.0
[01:30:34] Milinte_Brasco sebzest kapott tole: Elwood_JR_Sorrentino | sebzes: Ököl (-5.2) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 1.6
[01:31:05] Krisztofer_Vincenzo sebzest kapott tole: Elwood_JR_Sorrentino | sebzes: Ököl (-1.3) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 0.9
[01:32:04] Krisztofer_Vincenzo sebzest kapott tole: Elwood_JR_Sorrentino | sebzes: Ököl (-1.3) | E/P: 150.0/98.6 (S: 150.0/98.6) | Tav: 0.7
[01:33:28] Elwood_JR_Sorrentino sebzest kapott tole: Krisztofer_Vincenzo | sebzes: Ököl (-1.3) | E/P: 105.0/100.0 (S: 105.0/100.0) | Tav: 0.7
[01:33:45] Elwood_JR_Sorrentino sebzest kapott tole: Krisztofer_Vincenzo | sebzes: Ököl (-1.3) | E/P: 105.0/98.6 (S: 105.0/98.6) | Tav: 0.7
[01:33:46] Krisztofer_Vincenzo sebzest kapott tole: Elwood_JR_Sorrentino | sebzes: Ököl (-1.3) | E/P: 150.0/97.3 (S: 150.0/97.3) | Tav: 0.7
[01:40:05] Krisztofer_Vincenzo sebzest kapott tole: Elwood_JR_Sorrentino | sebzes: Ököl (-1.3) | E/P: 150.0/96.0 (S: 150.0/96.0) | Tav: 1.0
[01:42:33] Krisztofer_Vincenzo sebzest kapott tole: Elwood_JR_Sorrentino | sebzes: Ököl (-1.3) | E/P: 150.0/94.7 (S: 150.0/94.7) | Tav: 0.9
[01:42:55] Milinte_Brasco sebzest kapott tole: Krisztofer_Vincenzo | sebzes: Ököl (-1.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 1.2
[01:49:22] Krisztofer_Vincenzo sebzest kapott tole: Milinte_Brasco | sebzes: Ököl (-1.3) | E/P: 150.0/93.4 (S: 150.0/93.4) | Tav: 0.7
[01:49:23] Krisztofer_Vincenzo sebzest kapott tole: Milinte_Brasco | sebzes: Ököl (-1.3) | E/P: 150.0/93.4 (S: 150.0/93.4) | Tav: 0.9
[01:49:25] Krisztofer_Vincenzo sebzest kapott tole: Milinte_Brasco | sebzes: Ököl (-1.3) | E/P: 150.0/93.4 (S: 150.0/93.4) | Tav: 0.9
