[00:00:03] Aldo_B_Dueno sebzest kapott tole: Torres_Butler | sebzes: M4 (-9.9) | E/P: 147.0/67.0 (S: 147.0/67.0) | Tav: 10.6
[00:00:03] Aldo_B_Dueno sebzest kapott tole: Torres_Butler | sebzes: M4 (-9.9) | E/P: 147.0/47.0 (S: 147.0/47.0) | Tav: 10.5
[00:00:04] Aldo_B_Dueno sebzest kapott tole: Torres_Butler | sebzes: M4 (-9.9) | E/P: 147.0/27.0 (S: 147.0/27.0) | Tav: 10000.0
[00:00:04] Aldo_B_Dueno sebzest kapott tole: Torres_Butler | sebzes: M4 (-9.9) | E/P: 147.0/27.0 (S: 147.0/27.0) | Tav: 10000.0
[00:00:04] Aldo_B_Dueno sebzest kapott tole: Torres_Butler | sebzes: M4 (-9.9) | E/P: 147.0/27.0 (S: 147.0/27.0) | Tav: 10000.0
[00:13:12] Tom_Camorra sebzest kapott tole: Costa_Miles | sebzes: Ököl (-1.3) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 1.2
[00:13:12] Costa_Miles sebzest kapott tole: Tom_Camorra | sebzes: Ököl (-1.3) | E/P: 20.0/100.0 (S: 20.0/100.0) | Tav: 1.3
[00:13:17] Tom_Camorra sebzest kapott tole: Costa_Miles | sebzes: Ököl (-1.3) | E/P: 150.0/98.6 (S: 150.0/98.6) | Tav: 1.5
[00:13:18] Tom_Camorra sebzest kapott tole: Costa_Miles | sebzes: Ököl (-1.9) | E/P: 150.0/97.3 (S: 150.0/97.3) | Tav: 1.7
[00:13:18] Tom_Camorra sebzest kapott tole: Costa_Miles | sebzes: Ököl (-5.2) | E/P: 150.0/95.3 (S: 150.0/95.3) | Tav: 0.8
[00:13:21] Tom_Camorra sebzest kapott tole: Costa_Miles | sebzes: Ököl (-6.6) | E/P: 150.0/90.0 (S: 150.0/90.0) | Tav: 0.8
[00:13:22] Costa_Miles sebzest kapott tole: Tom_Camorra | sebzes: Ököl (-1.3) | E/P: 20.0/98.6 (S: 20.0/98.6) | Tav: 0.8
[00:13:23] Costa_Miles sebzest kapott tole: Tom_Camorra | sebzes: Ököl (-6.6) | E/P: 20.0/97.3 (S: 20.0/97.3) | Tav: 1.4
[00:13:24] Costa_Miles sebzest kapott tole: Tom_Camorra | sebzes: Ököl (-3.9) | E/P: 20.0/90.7 (S: 20.0/90.7) | Tav: 0.7
[00:13:25] Costa_Miles sebzest kapott tole: Tom_Camorra | sebzes: Ököl (-1.3) | E/P: 20.0/86.8 (S: 20.0/86.8) | Tav: 0.7
[00:13:25] Costa_Miles sebzest kapott tole: Tom_Camorra | sebzes: Ököl (-2.3) | E/P: 20.0/85.4 (S: 20.0/85.4) | Tav: 0.7
[00:13:28] Costa_Miles sebzest kapott tole: Tom_Camorra | sebzes: Ököl (-3.9) | E/P: 20.0/83.1 (S: 20.0/83.1) | Tav: 1.1
[00:13:32] Cseszka_R_Davidson sebzest kapott tole: Johan_B_Black | sebzes: Ököl (-2.6) | E/P: 77.1/3.6 (S: 77.1/3.6) | Tav: 1.0
[00:13:33] Costa_Miles sebzest kapott tole: Tom_Camorra | sebzes: Ököl (-1.3) | E/P: 20.0/79.2 (S: 20.0/79.2) | Tav: 1.1
[00:13:33] Cseszka_R_Davidson sebzest kapott tole: Johan_B_Black | sebzes: Ököl (-1.6) | E/P: 77.1/1.0 (S: 77.1/1.0) | Tav: 0.7
[00:13:33] Costa_Miles sebzest kapott tole: Tom_Camorra | sebzes: Ököl (-2.3) | E/P: 20.0/77.8 (S: 20.0/77.8) | Tav: 0.7
[00:13:34] Zero_Hopkins sebzest kapott tole: Tom_Camorra | sebzes: Ököl (-1.9) | E/P: 102.0/100.0 (S: 102.0/100.0) | Tav: 0.6
[00:13:34] Costa_Miles sebzest kapott tole: Tom_Camorra | sebzes: Ököl (-1.9) | E/P: 20.0/75.5 (S: 20.0/75.5) | Tav: 0.7
[00:13:34] Cseszka_R_Davidson sebzest kapott tole: Johan_B_Black | sebzes: Ököl (-4.2) | E/P: 76.5/0.0 (S: 76.5/0.0) | Tav: 0.7
[00:13:34] Costa_Miles sebzest kapott tole: Tom_Camorra | sebzes: Ököl (-5.2) | E/P: 20.0/73.6 (S: 20.0/73.6) | Tav: 1.1
[00:13:35] Cseszka_R_Davidson sebzest kapott tole: Johan_B_Black | sebzes: Ököl (-2.6) | E/P: 72.2/0.0 (S: 72.2/0.0) | Tav: 0.9
[00:13:35] Cseszka_R_Davidson sebzest kapott tole: Johan_B_Black | sebzes: Ököl (-1.6) | E/P: 69.6/0.0 (S: 69.6/0.0) | Tav: 1.0
[00:13:36] Costa_Miles sebzest kapott tole: Tom_Camorra | sebzes: Ököl (-6.6) | E/P: 20.0/68.3 (S: 20.0/68.3) | Tav: 1.7
[00:13:36] Tom_Camorra sebzest kapott tole: Costa_Miles | sebzes: Ököl (-1.3) | E/P: 150.0/83.5 (S: 150.0/83.5) | Tav: 1.6
[00:13:36] Tom_Camorra sebzest kapott tole: Costa_Miles | sebzes: Ököl (-1.9) | E/P: 150.0/82.1 (S: 150.0/82.1) | Tav: 1.0
[00:13:36] Cseszka_R_Davidson sebzest kapott tole: Johan_B_Black | sebzes: Ököl (-4.2) | E/P: 67.9/0.0 (S: 67.9/0.0) | Tav: 0.9
[00:13:37] Costa_Miles sebzest kapott tole: Tom_Camorra | sebzes: Ököl (-6.6) | E/P: 20.0/61.7 (S: 20.0/61.7) | Tav: 0.7
[00:13:37] Tom_Camorra sebzest kapott tole: Costa_Miles | sebzes: Ököl (-5.2) | E/P: 150.0/80.1 (S: 150.0/80.1) | Tav: 0.7
[00:13:37] Cseszka_R_Davidson sebzest kapott tole: Johan_B_Black | sebzes: Ököl (-2.6) | E/P: 63.6/0.0 (S: 63.6/0.0) | Tav: 0.6
[00:13:37] Johan_B_Black sebzest kapott tole: Cseszka_R_Davidson | sebzes: Ököl (-1.3) | E/P: 124.6/5.0 (S: 124.6/5.0) | Tav: 0.6
[00:13:39] Cseszka_R_Davidson sebzest kapott tole: Johan_B_Black | sebzes: Ököl (-4.2) | E/P: 61.0/0.0 (S: 61.0/0.0) | Tav: 0.6
[00:13:40] Johan_B_Black sebzest kapott tole: Cseszka_R_Davidson | sebzes: Ököl (-1.3) | E/P: 124.6/3.6 (S: 124.6/3.6) | Tav: 1.6
[00:13:40] Johan_B_Black sebzest kapott tole: Cseszka_R_Davidson | sebzes: Ököl (-1.3) | E/P: 124.6/2.3 (S: 124.6/2.3) | Tav: 0.6
[00:13:41] Cseszka_R_Davidson sebzest kapott tole: Johan_B_Black | sebzes: Ököl (-6.6) | E/P: 56.7/0.0 (S: 56.7/0.0) | Tav: 0.6
[00:13:41] Johan_B_Black sebzest kapott tole: Cseszka_R_Davidson | sebzes: Ököl (-1.3) | E/P: 124.6/1.0 (S: 124.6/1.0) | Tav: 0.7
[00:13:42] Cseszka_R_Davidson sebzest kapott tole: Johan_B_Black | sebzes: Ököl (-2.6) | E/P: 50.1/0.0 (S: 50.1/0.0) | Tav: 0.7
[00:13:42] Cseszka_R_Davidson sebzest kapott tole: Johan_B_Black | sebzes: Ököl (-1.6) | E/P: 47.5/0.0 (S: 47.5/0.0) | Tav: 0.8
[00:13:43] Cseszka_R_Davidson sebzest kapott tole: Johan_B_Black | sebzes: Ököl (-4.2) | E/P: 45.8/0.0 (S: 45.8/0.0) | Tav: 0.7
[00:13:44] Cseszka_R_Davidson sebzest kapott tole: Johan_B_Black | sebzes: Ököl (-2.6) | E/P: 41.5/0.0 (S: 41.5/0.0) | Tav: 0.6
[00:13:45] Cseszka_R_Davidson sebzest kapott tole: Johan_B_Black | sebzes: Ököl (-1.6) | E/P: 38.9/0.0 (S: 38.9/0.0) | Tav: 0.7
[00:13:49] Johan_B_Black sebzest kapott tole: Cseszka_R_Davidson | sebzes: Ököl (-1.3) | E/P: 124.3/0.0 (S: 124.3/0.0) | Tav: 1.0
[00:13:52] Cseszka_R_Davidson sebzest kapott tole: Johan_B_Black | sebzes: Ököl (-1.6) | E/P: 37.2/0.0 (S: 37.2/0.0) | Tav: 0.5
[00:13:52] Johan_B_Black sebzest kapott tole: Cseszka_R_Davidson | sebzes: Ököl (-1.9) | E/P: 123.0/0.0 (S: 123.0/0.0) | Tav: 0.4
[00:13:53] Cseszka_R_Davidson sebzest kapott tole: Johan_B_Black | sebzes: Ököl (-4.2) | E/P: 35.6/0.0 (S: 35.6/0.0) | Tav: 0.6
[00:13:54] Cseszka_R_Davidson sebzest kapott tole: Johan_B_Black | sebzes: Ököl (-6.6) | E/P: 31.3/0.0 (S: 31.3/0.0) | Tav: 0.7
[00:13:58] Cseszka_R_Davidson sebzest kapott tole: Johan_B_Black | sebzes: Ököl (-2.6) | E/P: 24.7/0.0 (S: 24.7/0.0) | Tav: 0.7
[00:13:59] Cseszka_R_Davidson sebzest kapott tole: Johan_B_Black | sebzes: Ököl (-1.6) | E/P: 22.1/0.0 (S: 22.1/0.0) | Tav: 0.7
[00:14:00] Cseszka_R_Davidson sebzest kapott tole: Johan_B_Black | sebzes: Ököl (-4.2) | E/P: 20.4/0.0 (S: 20.4/0.0) | Tav: 0.7
[00:14:01] Cseszka_R_Davidson sebzest kapott tole: Johan_B_Black | sebzes: Ököl (-6.6) | E/P: 16.1/0.0 (S: 16.1/0.0) | Tav: 0.7
