[00:00:28] Sidney_Tribiani sebzest kapott tole: Johny_Morales | sebzes: Ököl (-1.3) | E/P: 141.0/5.0 (S: 141.0/5.0) | Tav: 0.7
[00:00:39] Sidney_Tribiani sebzest kapott tole: Johny_Morales | sebzes: Ököl (-1.3) | E/P: 141.0/3.6 (S: 141.0/3.6) | Tav: 0.7
[00:00:39] Sidney_Tribiani sebzest kapott tole: Johny_Morales | sebzes: Ököl (-1.3) | E/P: 141.0/2.3 (S: 141.0/2.3) | Tav: 0.7
[00:00:46] Sidney_Tribiani sebzest kapott tole: Johny_Morales | sebzes: Ököl (-1.3) | E/P: 141.0/1.0 (S: 141.0/1.0) | Tav: 1.3
[00:02:42] Sidney_Tribiani sebzest kapott tole: Johny_Morales | sebzes: Ököl (-5.2) | E/P: 140.7/0.0 (S: 140.7/0.0) | Tav: 1.6
[00:03:22] Matt_Creed sebzest kapott tole: Krist_Roscoe | sebzes: Ököl (-1.3) | E/P: 120.0/94.7 (S: 120.0/94.7) | Tav: 0.9
[00:04:32] Johny_Morales sebzest kapott tole: Sidney_Tribiani | sebzes: MP5 (-8.2) | E/P: 115.0/20.0 (S: 115.0/20.0) | Tav: 3.7
[00:04:46] Johny_Morales sebzest kapott tole: Sidney_Tribiani | sebzes: Ököl (-1.3) | E/P: 115.0/11.7 (S: 115.0/11.7) | Tav: 1.9
[00:06:50] Don_Sorrentino sebzest kapott tole: Freddie_B_Scaletta | sebzes: SilencedColt45 (-13.2) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 10.4
[00:09:35] Don_Sorrentino sebzest kapott tole: Freddie_B_Scaletta | sebzes: SilencedColt45 (-13.2) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 5.7
[00:13:02] Raymond_Johnson sebzest kapott tole: James_Harris | sebzes: Ököl (-1.9) | E/P: 67.0/5.0 (S: 67.0/5.0) | Tav: 0.9
[00:23:27] Freddie_B_Scaletta sebzest kapott tole: Georg_B_Hollywood | sebzes: MP5 (-8.2) | E/P: 136.6/100.0 (S: 136.6/100.0) | Tav: 3.3
[00:23:34] Freddie_B_Scaletta sebzest kapott tole: Georg_B_Hollywood | sebzes: Ököl (-6.6) | E/P: 136.6/91.7 (S: 136.6/91.7) | Tav: 0.6
[00:23:35] Freddie_B_Scaletta sebzest kapott tole: Georg_B_Hollywood | sebzes: Ököl (-1.3) | E/P: 136.6/85.1 (S: 136.6/85.1) | Tav: 0.6
[00:23:35] Freddie_B_Scaletta sebzest kapott tole: Georg_B_Hollywood | sebzes: Ököl (-2.3) | E/P: 136.6/83.8 (S: 136.6/83.8) | Tav: 0.7
[00:23:36] Freddie_B_Scaletta sebzest kapott tole: Georg_B_Hollywood | sebzes: Ököl (-1.9) | E/P: 136.6/81.5 (S: 136.6/81.5) | Tav: 0.6
[00:23:36] Freddie_B_Scaletta sebzest kapott tole: Georg_B_Hollywood | sebzes: Ököl (-5.2) | E/P: 136.6/79.5 (S: 136.6/79.5) | Tav: 0.6
[00:23:37] Freddie_B_Scaletta sebzest kapott tole: Georg_B_Hollywood | sebzes: Ököl (-6.6) | E/P: 136.6/74.2 (S: 136.6/74.2) | Tav: 0.6
[00:23:38] Freddie_B_Scaletta sebzest kapott tole: Georg_B_Hollywood | sebzes: Ököl (-6.6) | E/P: 136.6/67.6 (S: 136.6/67.6) | Tav: 0.6
[00:23:38] Freddie_B_Scaletta sebzest kapott tole: Georg_B_Hollywood | sebzes: Ököl (-6.6) | E/P: 136.6/61.0 (S: 136.6/61.0) | Tav: 0.6
[00:23:39] Freddie_B_Scaletta sebzest kapott tole: Georg_B_Hollywood | sebzes: Ököl (-1.9) | E/P: 136.6/54.4 (S: 136.6/54.4) | Tav: 0.6
[00:23:39] Freddie_B_Scaletta sebzest kapott tole: Georg_B_Hollywood | sebzes: Ököl (-5.2) | E/P: 136.6/52.4 (S: 136.6/52.4) | Tav: 0.6
[00:23:40] Freddie_B_Scaletta sebzest kapott tole: Georg_B_Hollywood | sebzes: Ököl (-6.6) | E/P: 136.6/47.2 (S: 136.6/47.2) | Tav: 0.6
[00:23:41] Freddie_B_Scaletta sebzest kapott tole: Georg_B_Hollywood | sebzes: Ököl (-6.6) | E/P: 136.6/40.6 (S: 136.6/40.6) | Tav: 0.6
[00:23:41] Freddie_B_Scaletta sebzest kapott tole: Georg_B_Hollywood | sebzes: Ököl (-6.6) | E/P: 136.6/34.0 (S: 136.6/34.0) | Tav: 0.6
[00:23:42] Freddie_B_Scaletta sebzest kapott tole: Georg_B_Hollywood | sebzes: Ököl (-1.9) | E/P: 136.6/27.4 (S: 136.6/27.4) | Tav: 0.6
[00:23:43] Freddie_B_Scaletta sebzest kapott tole: Georg_B_Hollywood | sebzes: Ököl (-5.2) | E/P: 136.6/25.4 (S: 136.6/25.4) | Tav: 0.6
[00:23:44] Freddie_B_Scaletta sebzest kapott tole: Georg_B_Hollywood | sebzes: Ököl (-6.6) | E/P: 136.6/20.1 (S: 136.6/20.1) | Tav: 0.6
[00:23:44] Freddie_B_Scaletta sebzest kapott tole: Georg_B_Hollywood | sebzes: Ököl (-6.6) | E/P: 136.6/13.5 (S: 136.6/13.5) | Tav: 0.6
[00:23:44] Freddie_B_Scaletta sebzest kapott tole: Georg_B_Hollywood | sebzes: Ököl (-6.6) | E/P: 136.6/6.9 (S: 136.6/6.9) | Tav: 0.6
[00:23:45] Freddie_B_Scaletta sebzest kapott tole: Georg_B_Hollywood | sebzes: Ököl (-1.9) | E/P: 136.6/0.3 (S: 136.6/0.3) | Tav: 0.6
[00:29:11] Jesse_Sorrentino sebzest kapott tole: Freddie_B_Scaletta | sebzes: SilencedColt45 (-13.2) | E/P: 102.6/5.0 (S: 102.6/5.0) | Tav: 6.6
[00:29:39] Georg_B_Hollywood sebzest kapott tole: Freddie_B_Scaletta | sebzes: SilencedColt45 (-13.2) | E/P: 80.0/100.0 (S: 80.0/100.0) | Tav: 5.4
[00:29:39] Freddie_B_Scaletta sebzest kapott tole: Georg_B_Hollywood | sebzes: MP5 (-8.2) | E/P: 144.9/100.0 (S: 144.9/100.0) | Tav: 5.3
[00:29:40] Georg_B_Hollywood sebzest kapott tole: Freddie_B_Scaletta | sebzes: SilencedColt45 (-13.2) | E/P: 80.0/100.0 (S: 80.0/100.0) | Tav: 5.2
[00:29:41] Georg_B_Hollywood sebzest kapott tole: Freddie_B_Scaletta | sebzes: SilencedColt45 (-13.2) | E/P: 80.0/86.8 (S: 80.0/86.8) | Tav: 5.2
[00:32:19] Freddie_B_Scaletta sebzest kapott tole: Jesse_Sorrentino | sebzes: Ököl (-1.3) | E/P: 144.9/100.0 (S: 144.9/100.0) | Tav: 0.4
[00:32:20] Freddie_B_Scaletta sebzest kapott tole: Jesse_Sorrentino | sebzes: Ököl (-1.9) | E/P: 144.9/100.0 (S: 144.9/100.0) | Tav: 0.4
[00:32:20] Freddie_B_Scaletta sebzest kapott tole: Jesse_Sorrentino | sebzes: Ököl (-5.2) | E/P: 144.9/100.0 (S: 144.9/100.0) | Tav: 0.4
[00:32:21] Freddie_B_Scaletta sebzest kapott tole: Jesse_Sorrentino | sebzes: Ököl (-1.9) | E/P: 144.9/100.0 (S: 144.9/100.0) | Tav: 0.3
[00:32:22] Freddie_B_Scaletta sebzest kapott tole: Jesse_Sorrentino | sebzes: Ököl (-5.2) | E/P: 144.9/100.0 (S: 144.9/100.0) | Tav: 0.3
[00:32:28] Freddie_B_Scaletta sebzest kapott tole: Jesse_Sorrentino | sebzes: Ököl (-5.2) | E/P: 144.9/100.0 (S: 144.9/100.0) | Tav: 0.7
[00:32:29] Freddie_B_Scaletta sebzest kapott tole: Jesse_Sorrentino | sebzes: Ököl (-1.9) | E/P: 144.9/100.0 (S: 144.9/100.0) | Tav: 1.0
[00:32:34] Freddie_B_Scaletta sebzest kapott tole: Jesse_Sorrentino | sebzes: Ököl (-1.9) | E/P: 144.9/100.0 (S: 144.9/100.0) | Tav: 0.3
[00:32:34] Freddie_B_Scaletta sebzest kapott tole: Jesse_Sorrentino | sebzes: Ököl (-5.2) | E/P: 144.9/100.0 (S: 144.9/100.0) | Tav: 0.6
[00:32:35] Freddie_B_Scaletta sebzest kapott tole: Jesse_Sorrentino | sebzes: Ököl (-1.9) | E/P: 144.9/100.0 (S: 144.9/100.0) | Tav: 0.2
[00:32:35] Freddie_B_Scaletta sebzest kapott tole: Jesse_Sorrentino | sebzes: Ököl (-5.2) | E/P: 144.9/100.0 (S: 144.9/100.0) | Tav: 0.0
[00:32:36] Freddie_B_Scaletta sebzest kapott tole: Jesse_Sorrentino | sebzes: Ököl (-1.9) | E/P: 144.9/100.0 (S: 144.9/100.0) | Tav: 0.2
[00:32:37] Freddie_B_Scaletta sebzest kapott tole: Jesse_Sorrentino | sebzes: Ököl (-5.2) | E/P: 144.9/100.0 (S: 144.9/100.0) | Tav: 0.6
[00:32:37] Freddie_B_Scaletta sebzest kapott tole: Jesse_Sorrentino | sebzes: Ököl (-1.9) | E/P: 144.9/100.0 (S: 144.9/100.0) | Tav: 1.3
[00:33:47] Dominic_Vincenzo sebzest kapott tole: Krisztofer_Vincenzo | sebzes: Ököl (-1.3) | E/P: 150.0/92.0 (S: 150.0/92.0) | Tav: 1.2
[00:34:25] Freddie_B_Scaletta sebzest kapott tole: Georg_B_Hollywood | sebzes: Ököl (-1.9) | E/P: 144.9/100.0 (S: 144.9/100.0) | Tav: 0.7
[00:34:25] Freddie_B_Scaletta sebzest kapott tole: Georg_B_Hollywood | sebzes: Ököl (-5.2) | E/P: 144.9/100.0 (S: 144.9/100.0) | Tav: 0.7
[00:34:26] Freddie_B_Scaletta sebzest kapott tole: Georg_B_Hollywood | sebzes: Ököl (-6.6) | E/P: 144.9/100.0 (S: 144.9/100.0) | Tav: 0.7
[00:34:27] Freddie_B_Scaletta sebzest kapott tole: Georg_B_Hollywood | sebzes: Ököl (-6.6) | E/P: 144.9/100.0 (S: 144.9/100.0) | Tav: 0.7
[00:34:27] Freddie_B_Scaletta sebzest kapott tole: Georg_B_Hollywood | sebzes: Ököl (-6.6) | E/P: 144.9/100.0 (S: 144.9/100.0) | Tav: 0.7
[00:34:28] Freddie_B_Scaletta sebzest kapott tole: Georg_B_Hollywood | sebzes: Ököl (-1.9) | E/P: 144.9/100.0 (S: 144.9/100.0) | Tav: 0.7
[00:34:28] Jesse_Sorrentino sebzest kapott tole: Georg_B_Hollywood | sebzes: Ököl (-1.9) | E/P: 102.6/5.0 (S: 102.6/5.0) | Tav: 1.4
[00:34:29] Freddie_B_Scaletta sebzest kapott tole: Georg_B_Hollywood | sebzes: Ököl (-5.2) | E/P: 144.9/100.0 (S: 144.9/100.0) | Tav: 0.7
[00:34:29] Jesse_Sorrentino sebzest kapott tole: Georg_B_Hollywood | sebzes: Ököl (-5.2) | E/P: 102.6/5.0 (S: 102.6/5.0) | Tav: 1.4
[00:34:30] Jesse_Sorrentino sebzest kapott tole: Georg_B_Hollywood | sebzes: Ököl (-6.6) | E/P: 102.6/5.0 (S: 102.6/5.0) | Tav: 1.5
[00:35:22] Don_Sorrentino sebzest kapott tole: Georg_B_Hollywood | sebzes: Ököl (-1.3) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 0.9
[00:43:03] Harold_G_Freeman sebzest kapott tole: Georg_B_Hollywood | sebzes: Rifle (-24.7) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 49.9
[00:43:05] Harold_G_Freeman sebzest kapott tole: Georg_B_Hollywood | sebzes: Rifle (-24.7) | E/P: 150.0/75.2 (S: 150.0/75.2) | Tav: 51.3
[00:43:16] Nagato_Brasco sebzest kapott tole: Georg_B_Hollywood | sebzes: Rifle (-24.7) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 60.6
[00:43:17] Georg_B_Hollywood sebzest kapott tole: Nagato_Brasco | sebzes: Sniper (-41.2) | E/P: 80.0/73.5 (S: 80.0/73.5) | Tav: 57.6
[00:45:22] Freddie_B_Scaletta sebzest kapott tole: Max_Navarro | sebzes: Deagle (-23.1) | E/P: 144.9/100.0 (S: 144.9/100.0) | Tav: 13.5
[00:49:50] Shura_Sharma sebzest kapott tole: Georg_B_Hollywood | sebzes: Ököl (-1.3) | E/P: 49.1/100.0 (S: 49.1/100.0) | Tav: 1.4
[01:32:08] Sergei_B_Dueno sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-1.3) | E/P: 144.0/5.0 (S: 144.0/5.0) | Tav: 0.7
[01:32:08] Sergei_B_Dueno sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-2.3) | E/P: 144.0/3.6 (S: 144.0/3.6) | Tav: 0.6
[01:32:09] Sergei_B_Dueno sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-3.9) | E/P: 144.0/1.3 (S: 144.0/1.3) | Tav: 0.6
[01:32:10] Sergei_B_Dueno sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-1.3) | E/P: 141.4/0.0 (S: 141.4/0.0) | Tav: 0.6
[01:32:10] Sergei_B_Dueno sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-2.3) | E/P: 140.0/0.0 (S: 140.0/0.0) | Tav: 0.6
[01:32:11] Sergei_B_Dueno sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-5.2) | E/P: 137.7/0.0 (S: 137.7/0.0) | Tav: 0.6
[01:32:11] Sergei_B_Dueno sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-1.9) | E/P: 132.5/0.0 (S: 132.5/0.0) | Tav: 0.5
[01:32:12] Sergei_B_Dueno sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-5.2) | E/P: 130.5/0.0 (S: 130.5/0.0) | Tav: 0.5
[01:33:15] Sergei_B_Dueno sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-1.3) | E/P: 125.2/0.0 (S: 125.2/0.0) | Tav: 0.7
[01:33:15] Sergei_B_Dueno sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-1.3) | E/P: 123.9/0.0 (S: 123.9/0.0) | Tav: 0.7
[01:33:17] Sergei_B_Dueno sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-1.3) | E/P: 122.6/0.0 (S: 122.6/0.0) | Tav: 1.1
[01:33:18] Sergei_B_Dueno sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-1.3) | E/P: 121.2/0.0 (S: 121.2/0.0) | Tav: 1.0
[01:33:18] Sergei_B_Dueno sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-1.3) | E/P: 119.9/0.0 (S: 119.9/0.0) | Tav: 1.2
[01:33:19] Sergei_B_Dueno sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-1.3) | E/P: 118.6/0.0 (S: 118.6/0.0) | Tav: 1.2
