[00:03:48] Patrik_O_Neill sebzest kapott tole: Santos_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 1.1
[00:03:49] Patrik_O_Neill sebzest kapott tole: Santos_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.7
[00:03:52] Patrik_O_Neill sebzest kapott tole: Santos_O_Neill | sebzes: Ököl (-1.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.7
[00:03:53] Patrik_O_Neill sebzest kapott tole: Santos_O_Neill | sebzes: Ököl (-1.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.7
[00:03:54] Patrik_O_Neill sebzest kapott tole: Santos_O_Neill | sebzes: Ököl (-1.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.7
[00:03:56] Patrik_O_Neill sebzest kapott tole: Santos_O_Neill | sebzes: Ököl (-1.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.8
[00:04:04] Patrik_O_Neill sebzest kapott tole: Santos_O_Neill | sebzes: Ököl (-1.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.7
[00:04:10] Patrik_O_Neill sebzest kapott tole: Santos_O_Neill | sebzes: Ököl (-1.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.7
[00:04:43] Mike_O_Neill sebzest kapott tole: Santos_O_Neill | sebzes: Ököl (-1.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.7
[00:04:46] Mike_O_Neill sebzest kapott tole: Santos_O_Neill | sebzes: Ököl (-1.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.6
[00:09:31] Patrik_O_Neill sebzest kapott tole: Santos_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.7
[00:11:09] Mike_O_Neill sebzest kapott tole: Santos_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.8
[00:11:10] Mike_O_Neill sebzest kapott tole: Santos_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.9
[00:53:37] Connor_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 1.2
[00:53:39] Marcell_O_Neill sebzest kapott tole: Connor_O_Neill | sebzes: Ököl (-1.9) | E/P: 95.0/5.0 (S: 95.0/5.0) | Tav: 0.7
[00:53:41] Connor_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-5.2) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.5
[00:53:41] Marcell_O_Neill sebzest kapott tole: Connor_O_Neill | sebzes: Ököl (-1.9) | E/P: 95.0/5.0 (S: 95.0/5.0) | Tav: 0.5
[00:53:41] Connor_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.5
[00:53:41] Marcell_O_Neill sebzest kapott tole: Connor_O_Neill | sebzes: Ököl (-5.2) | E/P: 95.0/5.0 (S: 95.0/5.0) | Tav: 0.5
[00:53:42] Connor_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.8
[00:53:42] Marcell_O_Neill sebzest kapott tole: Connor_O_Neill | sebzes: Ököl (-1.9) | E/P: 95.0/5.0 (S: 95.0/5.0) | Tav: 0.7
[00:53:42] Connor_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-5.2) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.6
[00:53:43] Marcell_O_Neill sebzest kapott tole: Connor_O_Neill | sebzes: Ököl (-1.9) | E/P: 95.0/5.0 (S: 95.0/5.0) | Tav: 0.6
[00:53:43] Connor_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-6.6) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.6
[00:53:44] Marcell_O_Neill sebzest kapott tole: Connor_O_Neill | sebzes: Ököl (-5.2) | E/P: 95.0/5.0 (S: 95.0/5.0) | Tav: 0.6
[00:53:44] Connor_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-6.6) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.6
[00:53:44] Connor_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-6.6) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.7
[00:53:45] Marcell_O_Neill sebzest kapott tole: Connor_O_Neill | sebzes: Ököl (-6.6) | E/P: 95.0/5.0 (S: 95.0/5.0) | Tav: 0.6
[00:53:45] Connor_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.6
[00:53:45] Marcell_O_Neill sebzest kapott tole: Connor_O_Neill | sebzes: Ököl (-6.6) | E/P: 95.0/5.0 (S: 95.0/5.0) | Tav: 0.6
[00:53:45] Marcell_O_Neill sebzest kapott tole: Connor_O_Neill | sebzes: Ököl (-6.6) | E/P: 95.0/5.0 (S: 95.0/5.0) | Tav: 0.6
[00:53:45] Connor_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-5.2) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.7
[00:53:46] Marcell_O_Neill sebzest kapott tole: Connor_O_Neill | sebzes: Ököl (-1.9) | E/P: 95.0/5.0 (S: 95.0/5.0) | Tav: 0.6
[00:53:46] Connor_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-6.6) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.6
[00:53:47] Marcell_O_Neill sebzest kapott tole: Connor_O_Neill | sebzes: Ököl (-5.2) | E/P: 95.0/5.0 (S: 95.0/5.0) | Tav: 0.6
[00:53:47] Connor_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-6.6) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.6
[00:53:47] Connor_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-6.6) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.6
[00:53:47] Marcell_O_Neill sebzest kapott tole: Connor_O_Neill | sebzes: Ököl (-1.3) | E/P: 95.0/5.0 (S: 95.0/5.0) | Tav: 0.6
[00:53:48] Connor_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.6
[00:55:38] Philip_Skipper sebzest kapott tole: Nagato_Brasco | sebzes: Ököl (-1.3) | E/P: 29.0/96.0 (S: 29.0/96.0) | Tav: 1.3
[01:11:22] Santos_O_Neill sebzest kapott tole: Mike_O_Neill | sebzes: Ököl (-1.3) | E/P: 120.0/5.0 (S: 120.0/5.0) | Tav: 1.3
[01:11:23] Santos_O_Neill sebzest kapott tole: Mike_O_Neill | sebzes: Ököl (-1.3) | E/P: 120.0/5.0 (S: 120.0/5.0) | Tav: 1.2
[01:11:23] Santos_O_Neill sebzest kapott tole: Mike_O_Neill | sebzes: Ököl (-1.3) | E/P: 120.0/5.0 (S: 120.0/5.0) | Tav: 1.3
[01:11:32] Mike_O_Neill sebzest kapott tole: Santos_O_Neill | sebzes: Ököl (-6.6) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.6
[01:11:33] Mike_O_Neill sebzest kapott tole: Santos_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.5
[01:11:33] Mike_O_Neill sebzest kapott tole: Santos_O_Neill | sebzes: Ököl (-2.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.5
[01:13:27] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.8
[01:13:30] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-2.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.6
[01:13:33] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.6
[01:13:35] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.7
[01:16:13] Mike_O_Neill sebzest kapott tole: Santos_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 1.7
[01:16:13] Mike_O_Neill sebzest kapott tole: Santos_O_Neill | sebzes: Ököl (-2.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 1.2
[01:16:14] Mike_O_Neill sebzest kapott tole: Santos_O_Neill | sebzes: Ököl (-3.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 1.0
[01:22:25] Connor_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 115.0/5.0 (S: 115.0/5.0) | Tav: 0.7
[01:22:25] Connor_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 115.0/3.6 (S: 115.0/3.6) | Tav: 0.7
[01:22:26] Connor_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 115.0/2.3 (S: 115.0/2.3) | Tav: 0.7
[01:22:27] Connor_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 115.0/1.0 (S: 115.0/1.0) | Tav: 0.6
[01:24:26] Connor_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 114.7/0.0 (S: 114.7/0.0) | Tav: 0.6
[01:24:26] Marcell_O_Neill sebzest kapott tole: Connor_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.6
[01:24:26] Connor_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 113.4/0.0 (S: 113.4/0.0) | Tav: 0.7
[01:24:27] Connor_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.9) | E/P: 112.0/0.0 (S: 112.0/0.0) | Tav: 1.3
[01:24:27] Marcell_O_Neill sebzest kapott tole: Connor_O_Neill | sebzes: Ököl (-2.3) | E/P: 150.0/3.6 (S: 150.0/3.6) | Tav: 0.3
[01:24:27] Connor_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-5.2) | E/P: 110.0/0.0 (S: 110.0/0.0) | Tav: 0.2
[01:24:29] Marcell_O_Neill sebzest kapott tole: Connor_O_Neill | sebzes: Ököl (-5.2) | E/P: 150.0/1.3 (S: 150.0/1.3) | Tav: 1.2
[01:24:30] Marcell_O_Neill sebzest kapott tole: Connor_O_Neill | sebzes: Ököl (-1.9) | E/P: 146.0/0.0 (S: 146.0/0.0) | Tav: 1.2
[01:24:30] Marcell_O_Neill sebzest kapott tole: Connor_O_Neill | sebzes: Ököl (-1.9) | E/P: 144.1/0.0 (S: 144.1/0.0) | Tav: 0.9
[01:24:31] Marcell_O_Neill sebzest kapott tole: Connor_O_Neill | sebzes: Ököl (-5.2) | E/P: 142.1/0.0 (S: 142.1/0.0) | Tav: 0.6
[01:24:32] Connor_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 104.8/0.0 (S: 104.8/0.0) | Tav: 0.9
[01:24:32] Connor_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.9) | E/P: 103.5/0.0 (S: 103.5/0.0) | Tav: 0.8
[01:24:33] Connor_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-5.2) | E/P: 101.5/0.0 (S: 101.5/0.0) | Tav: 0.8
[01:24:34] Connor_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-6.6) | E/P: 96.2/0.0 (S: 96.2/0.0) | Tav: 0.8
[01:24:34] Connor_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-6.6) | E/P: 89.6/0.0 (S: 89.6/0.0) | Tav: 0.8
