[00:15:29] Connor_O_Neill sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-6.6) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 1.5
[00:15:30] Connor_O_Neill sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-6.6) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 1.5
[00:15:30] Connor_O_Neill sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-6.6) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 1.5
[00:15:30] Connor_O_Neill sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-6.6) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 1.5
[00:15:31] Connor_O_Neill sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-6.6) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 1.5
[00:15:31] Connor_O_Neill sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-6.6) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 1.5
[00:15:32] Connor_O_Neill sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-6.6) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 1.5
[00:15:34] Connor_O_Neill sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-1.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.8
[00:15:34] Connor_O_Neill sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-2.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.9
[00:15:39] Connor_O_Neill sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-1.3) | E/P: 145.0/5.0 (S: 145.0/5.0) | Tav: 0.9
[00:17:12] Connor_O_Neill sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-6.6) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 2.1
[00:19:19] Connor_O_Neill sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-1.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.6
[00:19:19] Connor_O_Neill sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-1.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.6
[00:19:20] Connor_O_Neill sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-1.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.6
[00:19:20] Connor_O_Neill sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-1.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.7
[00:19:21] Connor_O_Neill sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-1.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.6
[00:19:21] Connor_O_Neill sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-5.2) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.6
[00:20:09] Connor_O_Neill sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-1.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 1.1
[00:20:10] Connor_O_Neill sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-1.3) | E/P: 150.0/3.6 (S: 150.0/3.6) | Tav: 0.6
[00:20:10] Connor_O_Neill sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-1.9) | E/P: 150.0/2.3 (S: 150.0/2.3) | Tav: 0.6
[00:20:10] Patrik_O_Neill sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-1.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.6
[00:20:11] Connor_O_Neill sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-5.2) | E/P: 150.0/0.3 (S: 150.0/0.3) | Tav: 0.6
[00:20:11] Patrik_O_Neill sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-5.2) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.6
[00:20:12] Connor_O_Neill sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-1.9) | E/P: 145.1/0.0 (S: 145.1/0.0) | Tav: 0.6
[00:20:12] Patrik_O_Neill sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-1.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.6
[00:20:13] Connor_O_Neill sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-5.2) | E/P: 143.1/0.0 (S: 143.1/0.0) | Tav: 0.6
[00:20:13] Connor_O_Neill sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-1.9) | E/P: 137.8/0.0 (S: 137.8/0.0) | Tav: 0.9
[00:20:18] Connor_O_Neill sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-1.3) | E/P: 135.8/0.0 (S: 135.8/0.0) | Tav: 1.6
[00:20:18] Connor_O_Neill sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-1.3) | E/P: 134.5/0.0 (S: 134.5/0.0) | Tav: 1.2
[00:20:19] Connor_O_Neill sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-1.3) | E/P: 133.2/0.0 (S: 133.2/0.0) | Tav: 1.3
[00:20:26] Daniel_Scaletta sebzest kapott tole: Henrik_T_Scaletta | sebzes: Ököl (-1.3) | E/P: 87.9/96.0 (S: 87.9/96.0) | Tav: 0.7
[00:20:38] Patrik_O_Neill sebzest kapott tole: Connor_O_Neill | sebzes: Fire (-0.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 1.4
[00:20:38] Patrik_O_Neill sebzest kapott tole: Connor_O_Neill | sebzes: Fire (-0.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 1.3
[00:20:38] Patrik_O_Neill sebzest kapott tole: Connor_O_Neill | sebzes: Fire (-0.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 1.3
[00:20:38] Patrik_O_Neill sebzest kapott tole: Connor_O_Neill | sebzes: Fire (-0.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 1.3
[00:20:38] Patrik_O_Neill sebzest kapott tole: Connor_O_Neill | sebzes: Fire (-0.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 1.3
[00:20:38] Patrik_O_Neill sebzest kapott tole: Connor_O_Neill | sebzes: Fire (-0.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 1.3
[00:20:38] Patrik_O_Neill sebzest kapott tole: Connor_O_Neill | sebzes: Fire (-0.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 1.3
[00:20:38] Patrik_O_Neill sebzest kapott tole: Connor_O_Neill | sebzes: Fire (-0.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 1.3
[00:20:38] Patrik_O_Neill sebzest kapott tole: Connor_O_Neill | sebzes: Fire (-0.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 1.3
[00:20:38] Patrik_O_Neill sebzest kapott tole: Connor_O_Neill | sebzes: Fire (-0.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 1.4
