[00:00:47] Javier_B_Hollywood sebzest kapott tole: Jason_B_Hollywood | sebzes: Ököl (-1.3) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 1.3
[00:00:52] Javier_B_Hollywood sebzest kapott tole: Jason_B_Hollywood | sebzes: Ököl (-1.3) | E/P: 150.0/98.6 (S: 150.0/98.6) | Tav: 0.7
[00:01:00] Javier_B_Hollywood sebzest kapott tole: Torres_Butler | sebzes: Stick (-2.6) | E/P: 147.0/98.6 (S: 147.0/98.6) | Tav: 0.6
[00:01:03] Javier_B_Hollywood sebzest kapott tole: Torres_Butler | sebzes: Stick (-4.6) | E/P: 147.0/98.6 (S: 147.0/98.6) | Tav: 0.6
[00:01:04] Javier_B_Hollywood sebzest kapott tole: Torres_Butler | sebzes: Stick (-4.6) | E/P: 144.0/94.0 (S: 144.0/94.0) | Tav: 1.0
[00:01:04] Javier_B_Hollywood sebzest kapott tole: Torres_Butler | sebzes: Stick (-6.6) | E/P: 144.0/89.4 (S: 144.0/89.4) | Tav: 1.5
[00:01:28] Javier_B_Hollywood sebzest kapott tole: Torres_Butler | sebzes: Stick (-2.6) | E/P: 138.0/89.4 (S: 138.0/89.4) | Tav: 1.3
[00:01:30] Javier_B_Hollywood sebzest kapott tole: Torres_Butler | sebzes: Stick (-4.6) | E/P: 138.0/86.7 (S: 138.0/86.7) | Tav: 0.9
[00:02:46] Zack_B_Zecchin sebzest kapott tole: Marcel_B_Hollywood | sebzes: M4 (-9.9) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 150.5
[00:03:48] Johan_B_Black sebzest kapott tole: Marcel_B_Hollywood | sebzes: M4 (-9.9) | E/P: 105.0/5.0 (S: 105.0/5.0) | Tav: 22.2
[00:03:49] Johan_B_Black sebzest kapott tole: Marcel_B_Hollywood | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 21.9
[00:05:33] Amos_Toretto sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/95.0 (S: 150.0/95.0) | Tav: 1.2
[00:05:34] Amos_Toretto sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/95.0 (S: 150.0/95.0) | Tav: 0.9
[00:05:34] Amos_Toretto sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/95.0 (S: 150.0/95.0) | Tav: 1.3
[00:05:35] Amos_Toretto sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/95.0 (S: 150.0/95.0) | Tav: 1.0
[00:05:35] Amos_Toretto sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/95.0 (S: 150.0/95.0) | Tav: 1.0
[00:05:37] Amos_Toretto sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-2.3) | E/P: 150.0/95.0 (S: 150.0/95.0) | Tav: 1.2
[00:05:37] Amos_Toretto sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-3.9) | E/P: 150.0/95.0 (S: 150.0/95.0) | Tav: 1.3
[00:05:39] Amos_Toretto sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-2.3) | E/P: 150.0/95.0 (S: 150.0/95.0) | Tav: 1.0
[00:05:40] Amos_Toretto sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-3.9) | E/P: 150.0/95.0 (S: 150.0/95.0) | Tav: 1.0
[00:05:40] Amos_Toretto sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/95.0 (S: 150.0/95.0) | Tav: 0.9
[00:05:41] Amos_Toretto sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/95.0 (S: 150.0/95.0) | Tav: 0.9
[00:05:41] Amos_Toretto sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-2.3) | E/P: 150.0/95.0 (S: 150.0/95.0) | Tav: 0.9
[00:05:42] Amos_Toretto sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-3.9) | E/P: 150.0/95.0 (S: 150.0/95.0) | Tav: 0.9
[00:05:43] Amos_Toretto sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/95.0 (S: 150.0/95.0) | Tav: 0.7
[00:05:43] Amos_Toretto sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-2.3) | E/P: 150.0/95.0 (S: 150.0/95.0) | Tav: 0.6
[00:08:09] Tyler_Wish sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 1.1
[00:11:52] Krisztofer_Vincenzo sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 1.1
[00:11:53] Krisztofer_Vincenzo sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 0.8
[00:11:54] Krisztofer_Vincenzo sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 1.0
[00:11:54] Krisztofer_Vincenzo sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 1.2
[00:11:55] Krisztofer_Vincenzo sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 1.2
[00:11:56] Krisztofer_Vincenzo sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 0.8
[00:11:57] Krisztofer_Vincenzo sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 0.9
[00:11:57] Krisztofer_Vincenzo sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-2.3) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 0.9
[00:11:58] Krisztofer_Vincenzo sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-3.9) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 1.0
[00:11:59] Krisztofer_Vincenzo sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-2.3) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 1.0
[00:12:00] Krisztofer_Vincenzo sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-3.9) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 1.1
[00:14:10] Connor_O_Neill sebzest kapott tole: Jim_Handerson | sebzes: Ököl (-1.3) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 0.4
[00:14:39] Nelson_Washington sebzest kapott tole: Ryan_Brasco | sebzes: Ököl (-1.3) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 0.6
[00:14:47] Nelson_Washington sebzest kapott tole: Ryan_Brasco | sebzes: Ököl (-1.3) | E/P: 150.0/98.6 (S: 150.0/98.6) | Tav: 0.7
[00:20:45] Amos_Toretto sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/95.0 (S: 150.0/95.0) | Tav: 0.5
[00:22:36] Jim_Handerson sebzest kapott tole: Connor_O_Neill | sebzes: Fire (-0.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 4.7
[00:22:36] Jim_Handerson sebzest kapott tole: Connor_O_Neill | sebzes: Fire (-0.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 4.7
[00:22:36] Jim_Handerson sebzest kapott tole: Connor_O_Neill | sebzes: Fire (-0.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 4.7
[00:22:36] Jim_Handerson sebzest kapott tole: Connor_O_Neill | sebzes: Fire (-0.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 4.7
[00:22:36] Jim_Handerson sebzest kapott tole: Connor_O_Neill | sebzes: Fire (-0.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 4.7
[00:22:36] Jim_Handerson sebzest kapott tole: Connor_O_Neill | sebzes: Fire (-0.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 4.7
[00:22:36] Jim_Handerson sebzest kapott tole: Connor_O_Neill | sebzes: Fire (-0.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 4.7
[00:22:36] Jim_Handerson sebzest kapott tole: Connor_O_Neill | sebzes: Fire (-0.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 4.7
[00:22:36] Jim_Handerson sebzest kapott tole: Connor_O_Neill | sebzes: Fire (-0.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 4.7
[00:22:36] Jim_Handerson sebzest kapott tole: Connor_O_Neill | sebzes: Fire (-0.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 4.7
[00:22:36] Jim_Handerson sebzest kapott tole: Connor_O_Neill | sebzes: Fire (-0.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 4.8
[00:22:36] Jim_Handerson sebzest kapott tole: Connor_O_Neill | sebzes: Fire (-0.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 4.8
[00:22:36] Jim_Handerson sebzest kapott tole: Connor_O_Neill | sebzes: Fire (-0.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 4.9
[00:22:36] Jim_Handerson sebzest kapott tole: Connor_O_Neill | sebzes: Fire (-0.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 4.9
[00:22:36] Jim_Handerson sebzest kapott tole: Connor_O_Neill | sebzes: Fire (-0.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 4.9
[00:22:36] Jim_Handerson sebzest kapott tole: Connor_O_Neill | sebzes: Fire (-0.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 5.0
[00:22:36] Jim_Handerson sebzest kapott tole: Connor_O_Neill | sebzes: Fire (-0.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 5.0
[00:22:36] Jim_Handerson sebzest kapott tole: Connor_O_Neill | sebzes: Fire (-0.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 5.0
[00:22:36] Jim_Handerson sebzest kapott tole: Connor_O_Neill | sebzes: Fire (-0.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 5.1
[00:22:36] Jim_Handerson sebzest kapott tole: Connor_O_Neill | sebzes: Fire (-0.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 5.1
[00:22:36] Jim_Handerson sebzest kapott tole: Connor_O_Neill | sebzes: Fire (-0.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 5.1
[00:22:36] Jim_Handerson sebzest kapott tole: Connor_O_Neill | sebzes: Fire (-0.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 5.1
[00:22:36] Jim_Handerson sebzest kapott tole: Connor_O_Neill | sebzes: Fire (-0.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 5.1
[00:22:36] Jim_Handerson sebzest kapott tole: Connor_O_Neill | sebzes: Fire (-0.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 5.2
[00:22:36] Jim_Handerson sebzest kapott tole: Connor_O_Neill | sebzes: Fire (-0.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 5.2
[00:22:36] Jim_Handerson sebzest kapott tole: Connor_O_Neill | sebzes: Fire (-0.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 5.3
[00:22:36] Jim_Handerson sebzest kapott tole: Connor_O_Neill | sebzes: Fire (-0.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 5.3
[00:22:36] Jim_Handerson sebzest kapott tole: Connor_O_Neill | sebzes: Fire (-0.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 5.4
[00:22:36] Jim_Handerson sebzest kapott tole: Connor_O_Neill | sebzes: Fire (-0.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 5.5
[00:22:36] Jim_Handerson sebzest kapott tole: Connor_O_Neill | sebzes: Fire (-0.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 5.6
[00:22:46] Marcel_B_Hollywood sebzest kapott tole: George_B_Hollywood | sebzes: MP5 (-8.2) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 5.0
[00:22:46] George_B_Hollywood sebzest kapott tole: Marcel_B_Hollywood | sebzes: M4 (-9.9) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 5.0
[00:22:46] Marcel_B_Hollywood sebzest kapott tole: George_B_Hollywood | sebzes: MP5 (-8.2) | E/P: 150.0/91.7 (S: 150.0/91.7) | Tav: 5.2
