[00:00:46] Marcel_B_Hollywood sebzest kapott tole: Hugo_Toretto | sebzes: M4 (-0.0) | E/P: 150.0/60.0 (S: 150.0/60.0) | Tav: 5.4
[00:00:46] Hugo_Toretto sebzest kapott tole: Marcel_B_Hollywood | sebzes: M4 (-9.9) | E/P: 150.0/38.7 (S: 150.0/38.7) | Tav: 5.4
[00:00:46] Hugo_Toretto sebzest kapott tole: Marcel_B_Hollywood | sebzes: M4 (-9.9) | E/P: 150.0/18.7 (S: 150.0/18.7) | Tav: 5.4
[00:00:47] Hugo_Toretto sebzest kapott tole: Marcel_B_Hollywood | sebzes: M4 (-9.9) | E/P: 148.7/0.0 (S: 148.7/0.0) | Tav: 5.4
[00:00:47] Hugo_Toretto sebzest kapott tole: Marcel_B_Hollywood | sebzes: M4 (-9.9) | E/P: 148.7/0.0 (S: 148.7/0.0) | Tav: 5.4
[00:00:47] Hugo_Toretto sebzest kapott tole: Marcel_B_Hollywood | sebzes: M4 (-9.9) | E/P: 148.5/0.0 (S: 148.5/0.0) | Tav: 5.5
[00:00:51] Pekano_S_Barett sebzest kapott tole: Carlos_D_Surenos | sebzes: Ököl (-1.3) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 10000.0
[00:00:52] Stefan_D_Zecchin sebzest kapott tole: Carlos_D_Surenos | sebzes: Ököl (-1.3) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 10000.0
[00:01:07] Marcel_B_Hollywood sebzest kapott tole: Antonn_Fedorov | sebzes: Sniper (-41.2) | E/P: 150.0/40.0 (S: 150.0/40.0) | Tav: 156.5
[00:01:36] Marcel_B_Hollywood sebzest kapott tole: Antonn_Fedorov | sebzes: M4 (-9.9) | E/P: 143.7/0.0 (S: 143.7/0.0) | Tav: 10.2
[00:01:36] Marcel_B_Hollywood sebzest kapott tole: Antonn_Fedorov | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 9.9
[00:01:40] Leone_S_Tomasso sebzest kapott tole: Jason_Toretto | sebzes: Ököl (-1.3) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.7
[00:01:40] Leone_S_Tomasso sebzest kapott tole: Jason_Toretto | sebzes: Ököl (-2.3) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.7
[00:01:41] Leone_S_Tomasso sebzest kapott tole: Jason_Toretto | sebzes: Ököl (-3.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.7
[00:01:42] Leone_S_Tomasso sebzest kapott tole: Jason_Toretto | sebzes: Ököl (-1.3) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.7
[00:02:23] Shura_Sharma sebzest kapott tole: Levy_B_Hollywood | sebzes: Sniper (-41.2) | E/P: 115.0/60.0 (S: 115.0/60.0) | Tav: 183.6
[00:02:40] Don_Sorrentino sebzest kapott tole: Levy_B_Hollywood | sebzes: Sniper (-41.2) | E/P: 62.4/5.0 (S: 62.4/5.0) | Tav: 186.3
[00:02:41] Don_Sorrentino sebzest kapott tole: Levy_B_Hollywood | sebzes: Sniper (-41.2) | E/P: 62.4/5.0 (S: 62.4/5.0) | Tav: 186.3
[00:02:42] Don_Sorrentino sebzest kapott tole: Levy_B_Hollywood | sebzes: Sniper (-41.2) | E/P: 62.4/5.0 (S: 62.4/5.0) | Tav: 186.2
[00:03:01] Ventura_Zecchin sebzest kapott tole: Levy_B_Hollywood | sebzes: Sniper (-41.2) | E/P: 9.9/0.0 (S: 9.9/0.0) | Tav: 157.7
[00:03:03] Ventura_Zecchin sebzest kapott tole: Levy_B_Hollywood | sebzes: Sniper (-41.2) | E/P: 9.9/0.0 (S: 9.9/0.0) | Tav: 157.7
[00:07:59] Ralf_S_Tomasso sebzest kapott tole: Leone_S_Tomasso | sebzes: Ököl (-1.9) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 0.6
[00:08:00] Ralf_S_Tomasso sebzest kapott tole: Leone_S_Tomasso | sebzes: Ököl (-5.2) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 1.0
[00:08:01] Ralf_S_Tomasso sebzest kapott tole: Leone_S_Tomasso | sebzes: Ököl (-6.6) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 1.4
[00:08:03] Leone_S_Tomasso sebzest kapott tole: Ralf_S_Tomasso | sebzes: Ököl (-1.3) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.7
