[00:00:02] Niki_Freeman sebzest kapott tole: Zsori_Sandor | sebzes: Ököl (-2.6) | E/P: 104.3/0.0 (S: 104.3/0.0) | Tav: 0.8
[00:00:51] Keny_Da_Silva sebzest kapott tole: Norbert_N_Ortega | sebzes: Ököl (-6.6) | E/P: 148.6/0.0 (S: 148.6/0.0) | Tav: 0.8
[00:00:54] Keny_Da_Silva sebzest kapott tole: Norbert_N_Ortega | sebzes: Ököl (-6.6) | E/P: 148.6/0.0 (S: 148.6/0.0) | Tav: 0.8
[00:00:55] Keny_Da_Silva sebzest kapott tole: Norbert_N_Ortega | sebzes: Ököl (-6.6) | E/P: 142.0/0.0 (S: 142.0/0.0) | Tav: 0.8
[00:00:55] Keny_Da_Silva sebzest kapott tole: Norbert_N_Ortega | sebzes: Ököl (-6.6) | E/P: 135.4/0.0 (S: 135.4/0.0) | Tav: 0.8
[00:00:56] Keny_Da_Silva sebzest kapott tole: Norbert_N_Ortega | sebzes: Ököl (-6.6) | E/P: 128.8/0.0 (S: 128.8/0.0) | Tav: 0.9
[00:00:56] Keny_Da_Silva sebzest kapott tole: Norbert_N_Ortega | sebzes: Ököl (-6.6) | E/P: 122.2/0.0 (S: 122.2/0.0) | Tav: 0.9
[00:01:03] Keny_Da_Silva sebzest kapott tole: Norbert_N_Ortega | sebzes: Ököl (-6.6) | E/P: 115.6/0.0 (S: 115.6/0.0) | Tav: 0.8
[00:01:03] Keny_Da_Silva sebzest kapott tole: Norbert_N_Ortega | sebzes: Ököl (-6.6) | E/P: 109.0/0.0 (S: 109.0/0.0) | Tav: 0.8
[00:01:04] Keny_Da_Silva sebzest kapott tole: Norbert_N_Ortega | sebzes: Ököl (-6.6) | E/P: 102.4/0.0 (S: 102.4/0.0) | Tav: 0.8
[00:01:04] Keny_Da_Silva sebzest kapott tole: Norbert_N_Ortega | sebzes: Ököl (-6.6) | E/P: 95.8/0.0 (S: 95.8/0.0) | Tav: 0.8
[00:01:05] Keny_Da_Silva sebzest kapott tole: Norbert_N_Ortega | sebzes: Ököl (-6.6) | E/P: 89.2/0.0 (S: 89.2/0.0) | Tav: 0.8
[00:01:05] Keny_Da_Silva sebzest kapott tole: Norbert_N_Ortega | sebzes: Ököl (-6.6) | E/P: 82.6/0.0 (S: 82.6/0.0) | Tav: 0.9
[00:01:05] Keny_Da_Silva sebzest kapott tole: Norbert_N_Ortega | sebzes: Ököl (-6.6) | E/P: 76.0/0.0 (S: 76.0/0.0) | Tav: 0.9
[00:01:06] Keny_Da_Silva sebzest kapott tole: Norbert_N_Ortega | sebzes: Ököl (-6.6) | E/P: 69.4/0.0 (S: 69.4/0.0) | Tav: 0.9
[00:01:06] Keny_Da_Silva sebzest kapott tole: Norbert_N_Ortega | sebzes: Ököl (-6.6) | E/P: 62.8/0.0 (S: 62.8/0.0) | Tav: 1.2
[00:01:07] Keny_Da_Silva sebzest kapott tole: Norbert_N_Ortega | sebzes: Ököl (-6.6) | E/P: 56.2/0.0 (S: 56.2/0.0) | Tav: 1.2
[00:02:31] Charlie_Harper sebzest kapott tole: Javier_B_Hollywood | sebzes: Ököl (-1.3) | E/P: 148.6/5.0 (S: 148.6/5.0) | Tav: 1.4
[00:03:10] Albert_Kesselring sebzest kapott tole: Jason_B_Hollywood | sebzes: Ököl (-1.3) | E/P: 132.0/67.0 (S: 132.0/67.0) | Tav: 1.0
