[00:06:53] Freddie_B_Scaletta sebzest kapott tole: Steve_J_Sorrentino | sebzes: Ököl (-1.3) | E/P: 92.8/50.5 (S: 92.8/50.5) | Tav: 1.2
[00:06:54] Freddie_B_Scaletta sebzest kapott tole: Steve_J_Sorrentino | sebzes: Ököl (-2.3) | E/P: 92.8/49.1 (S: 92.8/49.1) | Tav: 1.4
[00:07:34] Steve_J_Sorrentino sebzest kapott tole: Henrik_T_Scaletta | sebzes: Ököl (-1.3) | E/P: 22.0/0.0 (S: 22.0/0.0) | Tav: 0.7
[00:08:06] Mikhail_Bratislav sebzest kapott tole: Damien_Q_Carcassone | sebzes: Ököl (-1.3) | E/P: 105.0/5.0 (S: 105.0/5.0) | Tav: 1.1
[00:08:06] Damien_Q_Carcassone sebzest kapott tole: Mikhail_Bratislav | sebzes: Ököl (-1.3) | E/P: 87.0/5.0 (S: 87.0/5.0) | Tav: 0.6
[00:13:29] Damien_Q_Carcassone sebzest kapott tole: Mikhail_Bratislav | sebzes: Ököl (-1.3) | E/P: 87.0/5.0 (S: 87.0/5.0) | Tav: 0.5
[00:25:36] Tyler_Wish sebzest kapott tole: Farder_Coram | sebzes: Ököl (-1.3) | E/P: 109.7/0.0 (S: 109.7/0.0) | Tav: 0.8
[00:25:53] Tyler_Wish sebzest kapott tole: Norbert_N_Ortega | sebzes: Ököl (-1.3) | E/P: 108.4/0.0 (S: 108.4/0.0) | Tav: 0.7
[01:00:01] Matt_Creed sebzest kapott tole: Freddie_B_Scaletta | sebzes: Ököl (-1.3) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 0.5
[01:00:03] Freddie_B_Scaletta sebzest kapott tole: Matt_Creed | sebzes: Ököl (-1.3) | E/P: 120.0/100.0 (S: 120.0/100.0) | Tav: 0.9
[01:02:29] Matt_Creed sebzest kapott tole: Freddie_B_Scaletta | sebzes: MP5 (-8.2) | E/P: 150.0/98.6 (S: 150.0/98.6) | Tav: 2.5
[01:02:29] Matt_Creed sebzest kapott tole: Freddie_B_Scaletta | sebzes: MP5 (-8.2) | E/P: 150.0/90.4 (S: 150.0/90.4) | Tav: 2.4
