[00:26:19] Amos_Toretto sebzest kapott tole: Krisztofer_Vincenzo | sebzes: Ököl (-1.3) | E/P: 150.0/144.7 (S: 150.0/144.7) | Tav: 0.8
[00:29:05] Amos_Toretto sebzest kapott tole: Krisztofer_Vincenzo | sebzes: Ököl (-1.3) | E/P: 150.0/143.3 (S: 150.0/143.3) | Tav: 0.9
[00:35:33] Amos_Toretto sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/143.3 (S: 150.0/143.3) | Tav: 0.8
[00:35:34] Krisztofer_Vincenzo sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 1.3
[00:35:35] Krisztofer_Vincenzo sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-2.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.6
[00:35:36] Krisztofer_Vincenzo sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.6
[00:35:56] Marcell_O_Neill sebzest kapott tole: Ryan_Brasco | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 5.0
[00:35:56] Marcell_O_Neill sebzest kapott tole: Ryan_Brasco | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 5.0
[00:35:56] Marcell_O_Neill sebzest kapott tole: Ryan_Brasco | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 5.0
[00:35:56] Marcell_O_Neill sebzest kapott tole: Ryan_Brasco | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 5.0
[00:35:57] Marcell_O_Neill sebzest kapott tole: Ryan_Brasco | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 4.9
[00:35:57] Marcell_O_Neill sebzest kapott tole: Ryan_Brasco | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 4.9
[00:35:57] Marcell_O_Neill sebzest kapott tole: Ryan_Brasco | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 4.9
[00:35:58] Marcell_O_Neill sebzest kapott tole: Ryan_Brasco | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 4.9
[00:35:58] Marcell_O_Neill sebzest kapott tole: Ryan_Brasco | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 4.9
[00:35:58] Marcell_O_Neill sebzest kapott tole: Ryan_Brasco | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 4.9
[00:35:58] Marcell_O_Neill sebzest kapott tole: Ryan_Brasco | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 4.9
[00:35:58] Marcell_O_Neill sebzest kapott tole: Ryan_Brasco | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 4.9
[00:35:58] Marcell_O_Neill sebzest kapott tole: Ryan_Brasco | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 4.9
[00:35:58] Marcell_O_Neill sebzest kapott tole: Ryan_Brasco | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 4.9
[00:35:58] Marcell_O_Neill sebzest kapott tole: Ryan_Brasco | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 10000.0
[00:35:59] Marcell_O_Neill sebzest kapott tole: Ryan_Brasco | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 10000.0
[00:35:59] Marcell_O_Neill sebzest kapott tole: Ryan_Brasco | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 10000.0
[00:35:59] Marcell_O_Neill sebzest kapott tole: Ryan_Brasco | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 10000.0
[00:35:59] Marcell_O_Neill sebzest kapott tole: Ryan_Brasco | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 10000.0
[00:35:59] Marcell_O_Neill sebzest kapott tole: Ryan_Brasco | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 10000.0
[00:36:52] Krisztofer_Vincenzo sebzest kapott tole: Ryan_Brasco | sebzes: M4 (-9.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 3.0
[00:36:52] Krisztofer_Vincenzo sebzest kapott tole: Ryan_Brasco | sebzes: M4 (-9.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 3.0
[00:36:52] Krisztofer_Vincenzo sebzest kapott tole: Ryan_Brasco | sebzes: M4 (-9.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 3.0
[00:36:53] Krisztofer_Vincenzo sebzest kapott tole: Ryan_Brasco | sebzes: M4 (-9.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 3.0
[00:36:53] Krisztofer_Vincenzo sebzest kapott tole: Ryan_Brasco | sebzes: M4 (-9.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 3.0
[00:36:53] Krisztofer_Vincenzo sebzest kapott tole: Ryan_Brasco | sebzes: M4 (-9.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 3.0
[00:36:54] Krisztofer_Vincenzo sebzest kapott tole: Ryan_Brasco | sebzes: M4 (-9.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 3.0
[00:36:54] Krisztofer_Vincenzo sebzest kapott tole: Ryan_Brasco | sebzes: M4 (-9.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 3.0
[00:36:54] Krisztofer_Vincenzo sebzest kapott tole: Ryan_Brasco | sebzes: M4 (-9.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 3.0
[00:36:54] Krisztofer_Vincenzo sebzest kapott tole: Ryan_Brasco | sebzes: M4 (-9.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 3.0
[00:36:54] Krisztofer_Vincenzo sebzest kapott tole: Ryan_Brasco | sebzes: M4 (-9.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 3.0
[00:36:55] Krisztofer_Vincenzo sebzest kapott tole: Ryan_Brasco | sebzes: M4 (-9.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 3.0
[00:36:55] Krisztofer_Vincenzo sebzest kapott tole: Ryan_Brasco | sebzes: M4 (-9.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 3.0
[00:36:55] Krisztofer_Vincenzo sebzest kapott tole: Ryan_Brasco | sebzes: M4 (-9.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 3.0
[00:36:55] Krisztofer_Vincenzo sebzest kapott tole: Ryan_Brasco | sebzes: M4 (-9.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 3.0
[00:36:55] Krisztofer_Vincenzo sebzest kapott tole: Ryan_Brasco | sebzes: M4 (-9.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 3.0
[00:36:55] Krisztofer_Vincenzo sebzest kapott tole: Ryan_Brasco | sebzes: M4 (-9.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 3.0
[00:36:56] Krisztofer_Vincenzo sebzest kapott tole: Ryan_Brasco | sebzes: M4 (-9.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 3.0
[00:36:57] Krisztofer_Vincenzo sebzest kapott tole: Ryan_Brasco | sebzes: M4 (-9.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 3.0
[00:36:57] Krisztofer_Vincenzo sebzest kapott tole: Ryan_Brasco | sebzes: M4 (-9.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 3.0
[00:36:57] Krisztofer_Vincenzo sebzest kapott tole: Ryan_Brasco | sebzes: M4 (-9.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 3.0
[00:36:58] Krisztofer_Vincenzo sebzest kapott tole: Ryan_Brasco | sebzes: M4 (-9.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 3.0
[00:37:20] Krisztofer_Vincenzo sebzest kapott tole: Amos_Toretto | sebzes: Ököl (-1.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.7
[00:37:21] Krisztofer_Vincenzo sebzest kapott tole: Amos_Toretto | sebzes: Ököl (-2.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.7
[00:37:21] Krisztofer_Vincenzo sebzest kapott tole: Amos_Toretto | sebzes: Ököl (-3.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.8
[00:37:22] Krisztofer_Vincenzo sebzest kapott tole: Amos_Toretto | sebzes: Ököl (-1.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.7
[00:37:23] Krisztofer_Vincenzo sebzest kapott tole: Amos_Toretto | sebzes: Ököl (-2.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.8
[00:39:19] Marcell_O_Neill sebzest kapott tole: Ryan_Brasco | sebzes: M4 (-9.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 9.6
[00:39:36] Ryan_Brasco sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 10000.0
[00:39:44] Amos_Toretto sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/143.3 (S: 150.0/143.3) | Tav: 0.7
[00:39:44] Amos_Toretto sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/143.3 (S: 150.0/143.3) | Tav: 1.0
[00:39:45] Amos_Toretto sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/143.3 (S: 150.0/143.3) | Tav: 0.8
[00:39:45] Amos_Toretto sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/143.3 (S: 150.0/143.3) | Tav: 1.0
[00:39:46] Amos_Toretto sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/143.3 (S: 150.0/143.3) | Tav: 0.6
[00:39:46] Amos_Toretto sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/143.3 (S: 150.0/143.3) | Tav: 0.6
