[00:59:40] [Átad][USA]Nagato_Brasco átadott neki: [Civil]Angelina_Freeman, egy Parachute-t
[03:23:45] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db MP5-t | Raktár Volt: 65 Lett: 66
[03:23:45] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db M4-t | Raktár Volt: 36 Lett: 37
[03:23:45] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Spray-t | Raktár Volt: 36 Lett: 37
[03:23:45] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Stick-t | Raktár Volt: 36 Lett: 37
[03:23:45] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Deagle-t | Raktár Volt: 66 Lett: 67
[03:23:45] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 1 Lett: 2
[03:23:45] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Rifle-t | Raktár Volt: 38 Lett: 39
[03:23:45] [duty lead lõszer]Nagato_Brasco Frakcio: 13 | 300 Db MP5-t | Raktár Volt: 4009 Lett: 4309
[03:23:45] [duty lead lõszer]Nagato_Brasco Frakcio: 13 | 300 Db M4-t | Raktár Volt: 7791 Lett: 8091
[03:23:45] [duty lead lõszer]Nagato_Brasco Frakcio: 13 | 45 Db Rifle-t | Raktár Volt: 5 Lett: 50
[03:23:45] [duty lead lõszer]Nagato_Brasco Frakcio: 13 | 100 Db Sniper-t | Raktár Volt: 8589 Lett: 8689
[03:23:45] [duty lead lõszer]Nagato_Brasco Frakcio: 13 | 800 Db Spray-t | Raktár Volt: 7889 Lett: 8689
[03:26:55] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db M4-t | Raktár Volt: 37 Lett: 38
[03:26:55] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 2 Lett: 3
[03:26:55] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Spray-t | Raktár Volt: 2 Lett: 3
[03:26:55] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Stick-t | Raktár Volt: 2 Lett: 3
[03:26:55] [duty lead lõszer]Nagato_Brasco Frakcio: 13 | 5000 Db M4-t | Raktár Volt: 8091 Lett: 13091
[03:26:55] [duty lead lõszer]Nagato_Brasco Frakcio: 13 | 2000 Db Sniper-t | Raktár Volt: 8689 Lett: 10689
[03:26:55] [duty lead lõszer]Nagato_Brasco Frakcio: 13 | 400 Db Spray-t | Raktár Volt: 10289 Lett: 10689
[03:27:07] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Spray-t | Raktár Volt: -1 Lett: 0
[03:27:07] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Stick-t | Raktár Volt: -1 Lett: 0
[03:27:07] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db M4-t | Raktár Volt: 38 Lett: 39
[03:27:07] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 3 Lett: 4
[03:27:07] [duty lead lõszer]Nagato_Brasco Frakcio: 13 | 400 Db Spray-t | Raktár Volt: -396 Lett: 4
[03:27:10] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Spray-t | Raktár Volt: -1 Lett: 0
[03:27:10] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Stick-t | Raktár Volt: -1 Lett: 0
[03:27:10] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db M4-t | Raktár Volt: 39 Lett: 40
[03:27:10] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 4 Lett: 5
[03:27:10] [duty lead lõszer]Nagato_Brasco Frakcio: 13 | 400 Db Spray-t | Raktár Volt: -395 Lett: 5
[03:27:14] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Spray-t | Raktár Volt: -1 Lett: 0
[03:27:14] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Stick-t | Raktár Volt: -1 Lett: 0
[03:27:14] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db M4-t | Raktár Volt: 40 Lett: 41
[03:27:14] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 5 Lett: 6
[03:27:14] [duty lead lõszer]Nagato_Brasco Frakcio: 13 | 400 Db Spray-t | Raktár Volt: -394 Lett: 6
[03:27:19] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Spray-t | Raktár Volt: -1 Lett: 0
