[09:56:10] ClassRPG: Valor_Colin kirúgva a rendszer által | Oka: Parancs flood
[10:23:10] ClassRPG: Jin_Sorrentino kirúgva a rendszer által | Oka: Parancs flood
[10:24:05] ClassRPG: Blake_Browns kirúgva a rendszer által | Oka: Parancs flood
[10:50:29] ClassRPG: Antonn_Fedorov kirúgva a rendszer által | Oka: Parancs flood
[11:58:53] ClassRPG: Thomas_Berzerk ki lett rúgva Archie_B_Hollywood által | Oka: relog (10-24-2014)
[12:30:02] ClassRPG: Martin_B_Zecchin kirúgva a rendszer által | Oka: Parancs flood
[14:43:30] ClassRPG: Nelson_Washington kirúgva a rendszer által | Oka: Parancs flood
[14:43:39] ClassRPG: Don_Sorrentino kirúgva a rendszer által | Oka: Parancs flood
[16:38:31] ClassRPG: Nelson_Washington kirúgva a rendszer által | Oka: Parancs flood
[17:15:59] ClassRPG: Lucio_Zecchin ki lett rúgva Jason_Toretto által | Oka: Nemkell tettetni hogy véletlen írtad /ad-ba, kövi MZ (10-24-2014)
[17:38:42] ClassRPG: Fekete_Erik ki lett rúgva Jason_Toretto által | Oka: relog (10-24-2014)
[17:40:49] ClassRPG: Blake_Browns ki lett rúgva Jason_Toretto által | Oka: relog (10-24-2014)
[18:15:12] ClassRPG: John_Kelin kirúgva a rendszer által | Oka: Parancs flood
[18:35:27] ClassRPG: Ernesto_Surenos ki lett rúgva Milinte_Brasco által | Oka: Normálisan (10-24-2014)
[18:38:21] ClassRPG: Don_Sorrentino ki lett rúgva Jason_Toretto által | Oka: /skick
[18:38:58] ClassRPG: Blake_Browns ki lett rúgva Milinte_Brasco által | Oka: relog bugolsz (10-24-2014)
[18:39:49] ClassRPG: Blake_Browns ki lett rúgva Milinte_Brasco által | Oka: relog bugolsz (10-24-2014)
[18:42:05] ClassRPG: Earl_Fooster ki lett rúgva Milinte_Brasco által | Oka: Relog bugolsz (10-24-2014)
[19:10:29] ClassRPG: Dom_Aciano kirúgva a rendszer által | Oka: Parancs flood
[19:51:37] ClassRPG: Steve_Aoki ki lett rúgva Jason_Toretto által | Oka: ez classrpg (10-24-2014)
[21:16:57] ClassRPG: David_Toretto ki lett rúgva Dolph_F_Gates által | Oka: mennie kell  (10-24-2014)
[21:39:45] ClassRPG: Charlie_Leanders kirúgva a rendszer által | Oka: AdminJailból szökési kísérlet!
[21:39:47] ClassRPG: Paul_D_Cortez kirúgva a rendszer által | Oka: AdminJailból szökési kísérlet!
[22:17:28] ClassRPG: Nelson_Washington ki lett rúgva Jason_Toretto által | Oka: /skick
[22:50:48] ClassRPG: Sam_Witwicky kirúgva a rendszer által | Oka: Parancs flood
[22:51:06] ClassRPG: Dominic_Vincenzo kirúgva a rendszer által | Oka: Parancs flood
[23:43:45] ClassRPG: Sam_Witwicky ki lett rúgva Patrik_O_Neill által | Oka: mit csinálsz! (10-24-2014)
