[00:11:32] ClassRPG: Preston_R_Wilson ki lett rúgva Jason_Toretto által | Oka: /skick
[01:16:03] ClassRPG: Tyler_Wish ki lett rúgva Patrik_O_Neill által | Oka: jóéjt (10-25-2014)
[02:04:04] ClassRPG: Elwood_JR_Sorrentino ki lett rúgva Patrik_O_Neill által | Oka: jóéjt (10-25-2014)
[08:26:51] ClassRPG: Atsuya_D_Freeman kirúgva a rendszer által | Oka: Parancs flood
[11:07:46] ClassRPG: Atsuya_D_Freeman kirúgva a rendszer által | Oka: Parancs flood
[11:09:15] ClassRPG: Leone_S_Tomasso ki lett rúgva Ralf_S_Tomasso által | Oka: /skick
[11:33:09] ClassRPG: Earl_Fooster kirúgva a rendszer által | Oka: Parancs flood
[12:01:22] ClassRPG: Nelson_Washington kirúgva a rendszer által | Oka: Parancs flood
[12:13:30] ClassRPG: Atsuya_D_Freeman ki lett rúgva Krisztofer_Vincenzo által | Oka: relog buggolsz (10-25-2014)
[12:34:35] ClassRPG: Nick_Vitale kirúgva egy Adminsegéd(Kevin_S_Tomasso) által | Oka: Relog, buggolsz! (10-25-2014)
[12:45:34] ClassRPG: James_D_Freeman kirúgva a rendszer által | Oka: Parancs flood
[12:53:29] ClassRPG: Michael_Faraday ki lett rúgva Archie_B_Hollywood által | Oka: nyugodj meg (10-25-2014)
[13:03:06] ClassRPG: Charlie_Leanders ki lett rúgva Archie_B_Hollywood által | Oka: Fejezd be kép kell hozzá (10-25-2014)
[13:28:00] ClassRPG: Milinte_Brasco kirúgva a rendszer által | Oka: Parancs flood
[13:28:54] ClassRPG: Dave_Stinson kirúgva a rendszer által | Oka: Parancs flood
[13:45:37] ClassRPG: Steve_Aoki ki lett rúgva Milinte_Brasco által | Oka: relog bugolsz (10-25-2014)
[14:35:41] ClassRPG: Diego_Aciano ki lett rúgva Marcell_O_Neill által | Oka: Irl is ütögeted a villanyoszlopot? Na ne már... Viselkedj úri ember módjára (10-25-2014)
[14:36:51] ClassRPG: Antonn_Fedorov ki lett rúgva Milinte_Brasco által | Oka: relog bugolsz (10-25-2014)
[15:00:53] ClassRPG: Hanzon_Soprano kirúgva a rendszer által | Oka: Parancs flood
[16:24:40] ClassRPG: Tom_Torres kirúgva a rendszer által | Oka: Parancs flood
[16:59:17] ClassRPG: Mate_Richard ki lett rúgva Jason_Toretto által | Oka: /skick
[17:00:05] ClassRPG: Victor_Jr_Zecchin ki lett rúgva Milinte_Brasco által | Oka: relog b ugolsz (10-25-2014)
[17:26:00] ClassRPG: Jin_Sorrentino ki lett rúgva Milinte_Brasco által | Oka: normálisan (10-25-2014)
[17:29:29] ClassRPG: Natalia_Inferno ki lett rúgva Milinte_Brasco által | Oka: Normálisan ooc (10-25-2014)
[17:29:35] ClassRPG: Charlie_Harper kirúgva a rendszer által | Oka: Parancs flood
[17:35:18] ClassRPG: Norbert_N_Ortega ki lett rúgva Milinte_Brasco által | Oka: Normálisan ooc (10-25-2014)
[19:20:44] ClassRPG: James_Creed ki lett rúgva Krisztofer_Vincenzo által | Oka: relog buggolsz (10-25-2014)
[20:29:32] ClassRPG: Joe_Gates ki lett rúgva Ralf_S_Tomasso által | Oka: /skick
[20:48:08] ClassRPG: Akos_White kirúgva a rendszer által | Oka: Parancs flood
[21:02:35] ClassRPG: Thomas_Berzerk kirúgva egy Adminsegéd(Leone_S_Tomasso) által | Oka: /megpróbál hol marad? (10-25-2014)
[21:11:34] ClassRPG: Greg_S_Sureyya kirúgva a rendszer által | Oka: Parancs flood
[21:26:31] ClassRPG: Usate_Krukenberg ki lett rúgva Krisztofer_Vincenzo által | Oka: relogg, buggolsz (10-25-2014)
[21:27:53] ClassRPG: Usate_Krukenberg ki lett rúgva Patrik_O_Neill által | Oka: Relog buggolsz (10-25-2014)
[21:43:29] ClassRPG: Doboska_Endre ki lett rúgva Connor_O_Neill által | Oka: Ott nem utazol (10-25-2014)
[21:50:29] ClassRPG: Daniel_Sedin kirúgva a rendszer által | Oka: Parancs flood
[21:51:45] ClassRPG: Henrik_Sedin kirúgva a rendszer által | Oka: Parancs flood
[21:52:54] ClassRPG: Steve_Aoki ki lett rúgva Krisztofer_Vincenzo által | Oka: fun off (10-25-2014)
[21:53:26] ClassRPG: Daniel_Sedin kirúgva a rendszer által | Oka: Parancs flood
[22:33:51] ClassRPG: Ryder_T_Zecchin kirúgva a rendszer által | Oka: Parancs flood
[23:57:49] ClassRPG: Costa_Miles kirúgva a rendszer által | Oka: Parancs flood
