[09:25:16] ClassRPG: Nick_R_Wilson kirúgva rendszer által | Oka: Cheat [CJ]
[09:35:44] ClassRPG: Nick_R_Wilson kirúgva a rendszer által | Oka: Parancs flood
[09:44:05] ClassRPG: Nick_R_Wilson kirúgva a rendszer által | Oka: Parancs flood
[09:48:47] ClassRPG: Travis_Dominguez kirúgva egy Adminsegéd(Leone_S_Tomasso) által | Oka: kérésre (10-29-2014)
[11:21:57] ClassRPG: Sergei_B_Dueno kirúgva egy Adminsegéd(Leone_S_Tomasso) által | Oka: Motoron viszed az animba lévõt? (10-29-2014)
[12:52:00] ClassRPG: Ryder_B_Dueno kirúgva a rendszer által | Oka: Parancs flood
[12:52:05] ClassRPG: Vito_D_Brasco kirúgva a rendszer által | Oka: Parancs flood
[12:57:45] ClassRPG: Blake_B_Salvatore kirúgva a rendszer által | Oka: Parancs flood
[13:04:19] ClassRPG: Ryder_B_Dueno kirúgva a rendszer által | Oka: Parancs flood
[14:09:36] ClassRPG: Rick_Aciano ki lett rúgva Connor_O_Neill által | Oka: Relog bugolsz (10-29-2014)
[14:10:20] ClassRPG: Charlie_Leanders ki lett rúgva Connor_O_Neill által | Oka: Az most mire volt jó? (10-29-2014)
[14:17:48] ClassRPG: Bryan_B_Hollywood ki lett rúgva Connor_O_Neill által | Oka: NonRP-s vezetés.. (10-29-2014)
[16:15:52] ClassRPG: Paul_Escobar kirúgva egy Adminsegéd(Grew_Brasco) által | Oka: OOC szebben (10-29-2014)
[16:32:21] ClassRPG: William_Leroy kirúgva a rendszer által | Oka: Parancs flood
[17:03:55] ClassRPG: Henry_Tomasino kirúgva a rendszer által | Oka: Parancs flood
[17:30:56] ClassRPG: Thomas_Blackwell ki lett rúgva Connor_O_Neill által | Oka: relog (10-29-2014)
[18:06:55] ClassRPG: Ernesto_Surenos kirúgva a rendszer által | Oka: Parancs flood
[19:45:16] ClassRPG: Lorand_Vincenzo kirúgva a rendszer által | Oka: Parancs flood
[20:01:29] ClassRPG: Ryder_B_Dueno kirúgva a rendszer által | Oka: Parancs flood
[20:07:06] ClassRPG: Stefan_Berger kirúgva a rendszer által | Oka: Szép próbálkozás, de nem elég jó. Cross pályán utasként!?
[20:32:32] ClassRPG: Don_Sorrentino kirúgva a rendszer által | Oka: Parancs flood
[21:22:54] ClassRPG: Joker_Creed ki lett rúgva Leon_Toretto által | Oka: mennie kell (10-29-2014)
[23:47:48] ClassRPG: Jim_Handerson ki lett rúgva Connor_O_Neill által | Oka: relog, bugolsz (10-29-2014)
