[00:24:15] ClassRPG: Krisztofer_Vincenzo ki lett rúgva Marcell_O_Neill által | Oka: 0 (10-30-2014)
[08:32:13] ClassRPG: Kitty_Soprano kirúgva a rendszer által | Oka: Parancs flood
[10:33:14] ClassRPG: Nick_Vitale kirúgva a rendszer által | Oka: Parancs flood
[10:33:26] ClassRPG: Diaz_Freeman kirúgva a rendszer által | Oka: Parancs flood
[11:37:43] ClassRPG: Thomas_Blackwell kirúgva a rendszer által | Oka: Parancs flood
[13:06:47] ClassRPG: Sandro_Nestore kirúgva egy Adminsegéd(Krist_Roscoe) által | Oka: Nonrg-s hírdetés (10-30-2014)
[14:00:57] ClassRPG: Mark_Bishop ki lett rúgva Connor_O_Neill által | Oka: Fulldefektel nem mész (10-30-2014)
[14:10:33] ClassRPG: Albert_Kesselring ki lett rúgva Connor_O_Neill által | Oka: Relog, bugolsz (10-30-2014)
[14:53:14] ClassRPG: Dom_Wheeler kirúgva a rendszer által | Oka: Parancs flood
[14:54:22] ClassRPG: Mikhail_Bratislav kirúgva a rendszer által | Oka: Parancs flood
[14:55:47] ClassRPG: Freddie_B_Scaletta kirúgva a rendszer által | Oka: Parancs flood
[14:57:25] ClassRPG: Darius_N_Ortega kirúgva a rendszer által | Oka: Parancs flood
[15:18:26] ClassRPG: Ryan_B_Mike kirúgva a rendszer által | Oka: Parancs flood
[15:18:40] ClassRPG: Ryan_Lennox kirúgva a rendszer által | Oka: Parancs flood
[15:44:25] ClassRPG: Teodor_Gates kirúgva egy Adminsegéd(Krist_Roscoe) által | Oka: DM, kórháznál lövés (10-30-2014)
[16:12:23] ClassRPG: Henrik_Sedin ki lett rúgva Krisztofer_Vincenzo által | Oka: Moderáld magad! (10-30-2014)
[17:39:21] ClassRPG: Atsuya_D_Freeman kirúgva a rendszer által | Oka: Parancs flood
[17:55:56] ClassRPG: Atsuya_D_Freeman ki lett rúgva Krisztofer_Vincenzo által | Oka: CJ futás. relog buggolsz (10-30-2014)
[18:16:10] ClassRPG: Costa_Miles ki lett rúgva Krisztofer_Vincenzo által | Oka: relog buggolsz (10-30-2014)
[18:28:39] ClassRPG: Tyler_Wish ki lett rúgva Krisztofer_Vincenzo által | Oka: relog buggolsz (10-30-2014)
[18:51:58] ClassRPG: Danno_Derossi ki lett rúgva Krisztofer_Vincenzo által | Oka: Normálisan hirdess (10-30-2014)
[19:01:06] ClassRPG: Henrik_Sedin ki lett rúgva Connor_O_Neill által | Oka: caps off (10-30-2014)
[19:09:06] ClassRPG: Henrik_Sedin kirúgva a rendszer által | Oka: Parancs flood
[20:08:10] ClassRPG: Kazuyoshi_Akira kirúgva a rendszer által | Oka: Parancs flood
[20:14:10] ClassRPG: Horvath_Adrian kirúgva egy Adminsegéd(Leone_S_Tomasso) által | Oka: relog (10-30-2014)
[20:16:36] ClassRPG: Jason_O_Neill ki lett rúgva Krisztofer_Vincenzo által | Oka: relog buggolsz (10-30-2014)
[20:27:39] ClassRPG: Joker_Creed kirúgva a rendszer által | Oka: Parancs flood
[20:28:23] ClassRPG: Kazuyoshi_Akira kirúgva a rendszer által | Oka: Parancs flood
[20:29:12] ClassRPG: Levy_B_Hollywood kirúgva a rendszer által | Oka: Parancs flood
[20:29:17] ClassRPG: Gyorgy_Boyka kirúgva a rendszer által | Oka: Parancs flood
[20:32:50] ClassRPG: Joe_Walker kirúgva a rendszer által | Oka: Parancs flood
[20:35:24] ClassRPG: Joe_Walker kirúgva a rendszer által | Oka: Parancs flood
[20:35:31] ClassRPG: Akos_White kirúgva a rendszer által | Oka: Parancs flood
[20:35:32] ClassRPG: Nadasi_Gyorgy kirúgva a rendszer által | Oka: Parancs flood
[20:38:03] ClassRPG: Joe_Walker kirúgva a rendszer által | Oka: Parancs flood
[20:38:54] ClassRPG: Don_Sorrentino kirúgva a rendszer által | Oka: Parancs flood
[20:40:28] ClassRPG: Joe_Walker kirúgva a rendszer által | Oka: Parancs flood
[20:41:32] ClassRPG: Dom_Wheeler kirúgva a rendszer által | Oka: Parancs flood
[20:42:22] ClassRPG: Zack_B_Zecchin kirúgva a rendszer által | Oka: Parancs flood
[21:44:18] ClassRPG: Jason_Aciano kirúgva egy Adminsegéd(Leone_S_Tomasso) által | Oka: NonRP s /me (10-30-2014)
[21:53:12] ClassRPG: Gyongyosi_Lajos ki lett rúgva Krisztofer_Vincenzo által | Oka: ott nem utazol (10-30-2014)
[22:29:18] ClassRPG: Joe_Gates ki lett rúgva Krisztofer_Vincenzo által | Oka: relog buggolsz (10-30-2014)
[22:49:22] ClassRPG: Johny_Morales kirúgva a rendszer által | Oka: Parancs flood
[23:03:35] ClassRPG: Antonn_Fedorov kirúgva egy Adminsegéd(Connor_O_Neill) által | Oka: Felsegíted (10-30-2014)
[23:09:43] ClassRPG: Javier_B_Hollywood ki lett rúgva Connor_O_Neill által | Oka: ott nem (10-30-2014)
[23:59:05] ClassRPG: Parag_Peter ki lett rúgva Krisztofer_Vincenzo által | Oka: relog buggolsz (10-30-2014)
