[00:17:29] ClassRPG: Hizusu_Weedman ki lett rúgva Krisztofer_Vincenzo által | Oka: Relog buggolsz (10-31-2014)
[00:17:51] ClassRPG: Parag_Peter ki lett rúgva Amos_Toretto által | Oka: bugolsz (10-31-2014)
[01:10:14] ClassRPG: Connor_O_Neill ki lett rúgva Marcell_O_Neill által | Oka: Ott nem utazunk :P (10-31-2014)
[01:15:05] ClassRPG: Tyler_Wish ki lett rúgva Marcell_O_Neill által | Oka: relog, buggolsz (10-31-2014)
[01:28:50] ClassRPG: Don_Sorrentino ki lett rúgva Marcell_O_Neill által | Oka: flood. (10-31-2014)
[10:24:52] ClassRPG: Ryan_B_Mike ki lett rúgva Amos_Toretto által | Oka: Shortolást hagyd abba (10-31-2014)
[11:02:54] ClassRPG: Keny_Da_Silva ki lett rúgva Marcell_O_Neill által | Oka: Reloga (10-31-2014)
[12:11:34] ClassRPG: Emanuel_Garcia ki lett rúgva Krisztofer_Vincenzo által | Oka: caps off (10-31-2014)
[12:17:13] ClassRPG: Akos_B_Gates ki lett rúgva Krisztofer_Vincenzo által | Oka: Mondtam hogy NINCS korcsolyás skin haunted houseban! (10-31-2014)
[12:19:19] ClassRPG: Santos_O_Neill ki lett rúgva Hizusu_Weedman által | Oka: IRC IC rádió... (10-31-2014)
[12:38:27] ClassRPG: CarloS_Brasco ki lett rúgva Hizusu_Weedman által | Oka: Normálisan ird le a neved (10-31-2014)
[12:39:37] ClassRPG: Rick_Aciano ki lett rúgva Amos_Toretto által | Oka: szépen is lehbet (10-31-2014)
[12:43:50] ClassRPG: John_Kelin kirúgva a rendszer által | Oka: Parancs flood
[12:44:53] ClassRPG: Earl_Wheeler kirúgva a rendszer által | Oka: Parancs flood
[12:45:05] ClassRPG: Patrick_Zecchin kirúgva a rendszer által | Oka: Parancs flood
[12:46:53] ClassRPG: Don_Sorrentino kirúgva a rendszer által | Oka: Parancs flood
[13:48:21] ClassRPG: Sergei_B_Dueno kirúgva a rendszer által | Oka: Parancs flood
[15:03:18] ClassRPG: Matthew_Carter kirúgva a rendszer által | Oka: Parancs flood
[15:03:18] ClassRPG: Nadasi_Gyorgy kirúgva a rendszer által | Oka: Parancs flood
[15:03:24] ClassRPG: Matt_Creed kirúgva a rendszer által | Oka: Parancs flood
[15:08:11] ClassRPG: Lucio_Zecchin ki lett rúgva Ralf_S_Tomasso által | Oka: /skick
[16:46:55] ClassRPG: Levy_B_Hollywood kirúgva egy Adminsegéd(Tyler_Wish) által | Oka: Szerelõ hívás flood (10-31-2014)
[17:05:16] ClassRPG: Jason_B_Hollywood ki lett rúgva Hizusu_Weedman által | Oka: Flood off! (10-31-2014)
[17:05:22] ClassRPG: Levy_B_Hollywood ki lett rúgva Hizusu_Weedman által | Oka: Flood off! (10-31-2014)
[18:04:01] ClassRPG: Pekano_S_Barett kirúgva a rendszer által | Oka: [WAR]  Drogozás war közben!
[18:58:21] ClassRPG: Chris_S_Black kirúgva egy Adminsegéd(David_Toretto) által | Oka: Ez milyen gov?  (10-31-2014)
[19:21:07] ClassRPG: Stevy_Camorra kirúgva rendszer által | Oka: Cheat [CJ]
[20:22:05] ClassRPG: James_Creed kirúgva a rendszer által | Oka: Parancs flood
[20:31:48] ClassRPG: Henry_Tomasino kirúgva a rendszer által | Oka: Parancs flood
[20:32:23] ClassRPG: Damien_Q_Carcassone kirúgva a rendszer által | Oka: Parancs flood
[20:32:58] ClassRPG: Spike_Wheeler kirúgva a rendszer által | Oka: Parancs flood
[20:33:06] ClassRPG: Denny_Toretto kirúgva a rendszer által | Oka: Parancs flood
[20:33:41] ClassRPG: Yamato_Bosco kirúgva a rendszer által | Oka: Parancs flood
[20:34:14] ClassRPG: Bob_Kleiner kirúgva a rendszer által | Oka: Parancs flood
[20:34:24] ClassRPG: Matthew_Queen kirúgva a rendszer által | Oka: Parancs flood
[20:34:25] ClassRPG: Gerald_P_Scaletta kirúgva a rendszer által | Oka: Parancs flood
[20:36:17] ClassRPG: Bob_Kleiner kirúgva a rendszer által | Oka: Parancs flood
[21:32:48] ClassRPG: Stefan_Aciano ki lett rúgva Ryan_Brasco által | Oka: Elég lesz (10-31-2014)
[22:17:52] ClassRPG: James_Aciano ki lett rúgva Milinte_Brasco által | Oka: relog bugolsz (10-31-2014)
[22:20:00] ClassRPG: Nadasi_Gyorgy kirúgva a rendszer által | Oka: Parancs flood
[22:20:22] ClassRPG: Johny_Morales kirúgva a rendszer által | Oka: Parancs flood
[22:20:43] ClassRPG: James_Aciano ki lett rúgva Milinte_Brasco által | Oka: relog bugolsz (10-31-2014)
[22:22:20] ClassRPG: James_Aciano ki lett rúgva Milinte_Brasco által | Oka: relog bugolsz (10-31-2014)
[22:23:42] ClassRPG: James_Aciano ki lett rúgva Milinte_Brasco által | Oka: relog bugolsz (10-31-2014)
[23:03:19] ClassRPG: Jason_B_Hollywood ki lett rúgva Milinte_Brasco által | Oka: ne tolakodj (10-31-2014)
[23:19:11] ClassRPG: Thomas_Berzerk kirúgva a rendszer által | Oka: Parancs flood
[23:58:20] ClassRPG: Emanuel_Garcia kirúgva egy Adminsegéd(Leone_S_Tomasso) által | Oka: Mostmár elég lesz (10-31-2014)
