[01:30:05] ClassRPG: Henry_Thomasino kirúgva a rendszer által | Oka: Parancs flood
[01:32:18] ClassRPG: Henry_Thomasino kirúgva a rendszer által | Oka: Parancs flood
[01:35:05] ClassRPG: Steve_J_Sorrentino kirúgva a rendszer által | Oka: Parancs flood
[01:51:28] ClassRPG: Henry_Thomasino kirúgva a rendszer által | Oka: Parancs flood
[08:47:06] ClassRPG: Damien_Q_Carcassone kirúgva a rendszer által | Oka: Parancs flood
[08:47:24] ClassRPG: Pablo_S_Carcassone kirúgva a rendszer által | Oka: Parancs flood
[08:49:57] ClassRPG: Damien_Q_Carcassone kirúgva a rendszer által | Oka: Parancs flood
[09:12:55] ClassRPG: Bart_S_Tomasso kirúgva rendszer által | Oka: Cheat [CJ]
[11:05:57] ClassRPG: CarloS_D_Garcia kirúgva a rendszer által | Oka: Parancs flood
[12:25:44] ClassRPG: Szekely_Klara ki lett rúgva Keny_Eastwood által | Oka: Gondolkozzál már nem a haverod vagyok (11-2-2014)
[12:37:24] ClassRPG: Ignacio_D_Freeman kirúgva a rendszer által | Oka: Parancs flood
[12:49:40] ClassRPG: Tom_Torres ki lett rúgva Keny_Eastwood által | Oka: Relogg bugolsz (11-2-2014)
[13:10:43] ClassRPG: Henry_Thomasino kirúgva a rendszer által | Oka: Parancs flood
[13:35:51] ClassRPG: Horvath_Adrian kirúgva a rendszer által | Oka: Parancs flood
[15:23:10] ClassRPG: Jim_Aciano kirúgva a rendszer által | Oka: Parancs flood
[15:26:16] ClassRPG: Sergei_B_Dueno ki lett rúgva Milinte_Brasco által | Oka: Ott nem utazol (11-2-2014)
[16:54:57] ClassRPG: Freddie_B_Scaletta ki lett rúgva Krisztofer_Vincenzo által | Oka: relog buggolsz (11-2-2014)
[17:46:32] ClassRPG: Denny_Toretto kirúgva a rendszer által | Oka: Parancs flood
[17:49:57] ClassRPG: Spike_Wheeler kirúgva a rendszer által | Oka: Parancs flood
[17:49:58] ClassRPG: Kazuyoshi_Akira kirúgva a rendszer által | Oka: Parancs flood
[18:23:06] ClassRPG: Kiraly_Viktor kirúgva a rendszer által | Oka: Parancs flood
[18:54:38] ClassRPG: Spike_Wheeler kirúgva a rendszer által | Oka: [WAR]  Drogozás war közben!
[19:33:36] ClassRPG: Zsori_Sandor kirúgva a rendszer által | Oka: Parancs flood
[20:00:45] ClassRPG: Oze_Roland kirúgva a rendszer által | Oka: Parancs flood
[20:12:56] ClassRPG: Oze_Roland kirúgva a rendszer által | Oka: Parancs flood
[21:18:27] ClassRPG: Mester_Csaba kirúgva a rendszer által | Oka: Parancs flood
[21:18:32] ClassRPG: Felix_Wheeler kirúgva a rendszer által | Oka: Parancs flood
[21:18:53] ClassRPG: Valor_Colin kirúgva a rendszer által | Oka: Parancs flood
[21:19:04] ClassRPG: Dom_Wheeler kirúgva a rendszer által | Oka: Parancs flood
[21:19:09] ClassRPG: Niky_Winston kirúgva a rendszer által | Oka: Parancs flood
[21:19:20] ClassRPG: Joker_Travin kirúgva a rendszer által | Oka: Parancs flood
[21:19:33] ClassRPG: Johny_Morales kirúgva a rendszer által | Oka: Parancs flood
[21:19:53] ClassRPG: Blake_B_Salvatore kirúgva a rendszer által | Oka: Parancs flood
[21:20:07] ClassRPG: Zsori_Sandor kirúgva a rendszer által | Oka: Parancs flood
[21:20:19] ClassRPG: Rick_Aciano kirúgva a rendszer által | Oka: Parancs flood
[21:20:44] ClassRPG: Tyler_Wish kirúgva a rendszer által | Oka: Parancs flood
[21:20:54] ClassRPG: Siska_Finuccsi kirúgva a rendszer által | Oka: Parancs flood
[21:21:06] ClassRPG: Darius_N_Ortega kirúgva a rendszer által | Oka: Parancs flood
[21:21:35] ClassRPG: Niko_Black kirúgva a rendszer által | Oka: Parancs flood
[21:21:43] ClassRPG: Zack_B_Zecchin kirúgva a rendszer által | Oka: Parancs flood
[21:21:49] ClassRPG: Markus_D_Zecchin kirúgva a rendszer által | Oka: Parancs flood
[21:22:17] ClassRPG: Gyorgy_Boyka kirúgva a rendszer által | Oka: Parancs flood
[21:22:18] ClassRPG: Cody_Aciano kirúgva a rendszer által | Oka: Parancs flood
[21:22:23] ClassRPG: Ignacio_D_Freeman kirúgva a rendszer által | Oka: Parancs flood
[21:23:47] ClassRPG: Joe_Brasco kirúgva a rendszer által | Oka: Parancs flood
[21:24:17] ClassRPG: Freddie_B_Scaletta kirúgva a rendszer által | Oka: Parancs flood
[21:24:57] ClassRPG: Carl_Johnsen kirúgva a rendszer által | Oka: Parancs flood
[21:25:25] ClassRPG: Cseszka_R_Davidson kirúgva a rendszer által | Oka: Parancs flood
[21:45:32] ClassRPG: Chris_D_Black ki lett rúgva Connor_O_Neill által | Oka: Ha visszajössz nem trollkodsz (11-2-2014)
[21:51:52] ClassRPG: Damien_Q_Carcassone kirúgva a rendszer által | Oka: Parancs flood
[22:00:26] ClassRPG: Felix_Wheeler kirúgva egy Adminsegéd(Tyler_Wish) által | Oka: DM kísérlete (11-2-2014)
