[00:26:25] Steve_Aoki atadott 6,000,000Ft-ot neki: Don_Sorrentino
[00:55:01] Matt_Creed atadott 10,000,000Ft-ot neki: Edie_Morra
[02:02:21] Diego_Aciano atadott 16Ft-ot neki: Oliver_Aciano
[02:02:28] Diego_Aciano atadott 16Ft-ot neki: Oliver_Aciano
[02:02:30] Diego_Aciano atadott 16Ft-ot neki: Oliver_Aciano
[02:02:34] Diego_Aciano atadott 16Ft-ot neki: Oliver_Aciano
[02:02:45] Diego_Aciano atadott 16Ft-ot neki: Oliver_Aciano
[02:02:50] Diego_Aciano atadott 16Ft-ot neki: Oliver_Aciano
[02:03:10] Diego_Aciano atadott 16Ft-ot neki: Oliver_Aciano
[02:03:24] Diego_Aciano atadott 9,000,000Ft-ot neki: Oliver_Aciano
[02:04:20] Diego_Aciano atadott 500,000Ft-ot neki: Dom_Aciano
[06:46:25] Jeffrey_Lock atadott 10,000,000Ft-ot neki: Tyler_Wish
[06:52:45] Thomas_Berzerk atadott 10,000,000Ft-ot neki: Tyler_Wish
[06:55:00] Mac_Curtis atadott 10,000,000Ft-ot neki: Tyler_Wish
[07:13:26] Kulcsar_Tamas atadott 10,000,000Ft-ot neki: Tyler_Wish
[08:11:57] Mark_Jones atadott 9,988,234Ft-ot neki: Atsuya_D_Freeman
[09:47:45] Kevin_R_Sorrentino atadott 4,000Ft-ot neki: Henrik_Karlson
[10:15:32] Horvat_Bence atadott 10,000,000Ft-ot neki: Jizzy_Mc_Deguchi
[10:23:14] Don_Bruno atadott 10,000,000Ft-ot neki: Diego_Aciano
[10:24:03] Jizzy_Mc_Deguchi atadott 10,000,000Ft-ot neki: Tamas_V_Domotor
[10:29:30] Figyelem: Diego_Aciano utalt neki: Dom_Aciano, 7,000,000Ft-t!
[10:35:04] Figyelem: Chung_Yji utalt neki: Kevin_R_Sorrentino, 9,200,000Ft-t!
[10:38:17] Figyelem: Kevin_R_Sorrentino utalt neki: Henrik_Karlson, 9,200,000Ft-t!
[12:50:12] Damien_Creed atadott 70,000Ft-ot neki: Michael_T_Morales
[12:50:26] Frank_Jensen atadott 10,000,000Ft-ot neki: Franklin_Morales
[12:57:25] Ben_Dort atadott 10,000,000Ft-ot neki: Franklin_Morales
[13:01:27] Lorand_B_Hollywood atadott 327,935Ft-ot neki: Harry_F_Black
[13:03:37] Frank_Harrys atadott 10,000,000Ft-ot neki: Franklin_Morales
[13:06:53] Dwayne_Derossi atadott 10,000,000Ft-ot neki: Franklin_Morales
[13:34:41] Jessica_Leon atadott 10,000,000Ft-ot neki: Harry_F_Black
[13:44:27] Dominic_Vincenzo atadott 37,406Ft-ot neki: Kevin_S_Tomasso
[13:47:06] Harry_Main atadott 10,000,000Ft-ot neki: Lorand_B_Hollywood
[13:56:56] Atsuya_D_Freeman atadott 400,000Ft-ot neki: Lorand_B_Hollywood
[13:59:07] Atsuya_D_Freeman atadott 20,000Ft-ot neki: Lorand_B_Hollywood
[14:12:23] Sifu_D_Sorrentino atadott 1Ft-ot neki: Jin_Sorrentino
[14:31:40] Franklin_Morales atadott 300,000Ft-ot neki: Gunnar_Jensen
[14:42:40] Marcell_O_Neill atadott 1Ft-ot neki: Dom_Aciano
[14:43:58] Marcell_O_Neill atadott 1Ft-ot neki: Dom_Aciano
[14:47:06] Marcell_O_Neill atadott 1Ft-ot neki: Fekete_Erik
[14:52:22] Tony_La_Colombo atadott 10,000,000Ft-ot neki: Harry_F_Black
[14:54:30] Marcell_O_Neill atadott 1Ft-ot neki: Lee_Fooster
[14:55:35] Jin_Sorrentino atadott 1Ft-ot neki: Sifu_D_Sorrentino
[14:55:40] Sifu_D_Sorrentino atadott 2Ft-ot neki: Freddie_B_Scaletta
[14:55:56] Sifu_D_Sorrentino atadott 100Ft-ot neki: Henrik_T_Scaletta
[14:56:59] Marcell_O_Neill atadott 1Ft-ot neki: Lee_Fooster
[14:59:14] Hegyes_Marton atadott 100,000Ft-ot neki: Gyongyosi_Lajos
[15:02:56] Marcell_O_Neill atadott 1Ft-ot neki: Algernon_Youngmay
[15:04:07] Henrik_T_Scaletta atadott 1,180,345Ft-ot neki: Freddie_B_Scaletta
[15:04:17] Marcell_O_Neill atadott 1Ft-ot neki: Adam_Blood
