[00:07:36] Connor_O_Neill atadott 40,000Ft-ot neki: Ashley_W_Taylor
[00:19:47] Henrik_T_Scaletta atadott 633,195Ft-ot neki: Leone_S_Tomasso
[03:06:58] Elwood_JR_Sorrentino atadott 10,000,000Ft-ot neki: Don_Sorrentino
[03:06:59] Elwood_JR_Sorrentino atadott 10,000,000Ft-ot neki: Don_Sorrentino
[03:07:00] Elwood_JR_Sorrentino atadott 10,000,000Ft-ot neki: Don_Sorrentino
[03:07:01] Elwood_JR_Sorrentino atadott 10,000,000Ft-ot neki: Don_Sorrentino
[03:07:02] Elwood_JR_Sorrentino atadott 10,000,000Ft-ot neki: Don_Sorrentino
[03:07:03] Elwood_JR_Sorrentino atadott 10,000,000Ft-ot neki: Don_Sorrentino
[03:07:04] Elwood_JR_Sorrentino atadott 10,000,000Ft-ot neki: Don_Sorrentino
[03:07:06] Elwood_JR_Sorrentino atadott 10,000,000Ft-ot neki: Don_Sorrentino
[03:07:07] Elwood_JR_Sorrentino atadott 10,000,000Ft-ot neki: Don_Sorrentino
[03:07:08] Elwood_JR_Sorrentino atadott 10,000,000Ft-ot neki: Don_Sorrentino
[03:07:09] Elwood_JR_Sorrentino atadott 10,000,000Ft-ot neki: Don_Sorrentino
[03:07:10] Elwood_JR_Sorrentino atadott 10,000,000Ft-ot neki: Don_Sorrentino
[03:07:11] Elwood_JR_Sorrentino atadott 10,000,000Ft-ot neki: Don_Sorrentino
[03:07:12] Elwood_JR_Sorrentino atadott 10,000,000Ft-ot neki: Don_Sorrentino
[03:07:13] Elwood_JR_Sorrentino atadott 10,000,000Ft-ot neki: Don_Sorrentino
[03:07:14] Elwood_JR_Sorrentino atadott 10,000,000Ft-ot neki: Don_Sorrentino
[03:07:15] Elwood_JR_Sorrentino atadott 10,000,000Ft-ot neki: Don_Sorrentino
[03:07:17] Elwood_JR_Sorrentino atadott 10,000,000Ft-ot neki: Don_Sorrentino
[03:07:18] Elwood_JR_Sorrentino atadott 10,000,000Ft-ot neki: Don_Sorrentino
[03:07:19] Elwood_JR_Sorrentino atadott 10,000,000Ft-ot neki: Don_Sorrentino
[03:07:25] Elwood_JR_Sorrentino atadott 10,000,000Ft-ot neki: Don_Sorrentino
[03:07:26] Elwood_JR_Sorrentino atadott 10,000,000Ft-ot neki: Don_Sorrentino
[03:07:27] Elwood_JR_Sorrentino atadott 10,000,000Ft-ot neki: Don_Sorrentino
[03:07:37] Elwood_JR_Sorrentino atadott 10,000,000Ft-ot neki: Don_Sorrentino
[03:07:39] Elwood_JR_Sorrentino atadott 10,000,000Ft-ot neki: Don_Sorrentino
[03:07:41] Elwood_JR_Sorrentino atadott 10,000,000Ft-ot neki: Don_Sorrentino
[03:07:43] Elwood_JR_Sorrentino atadott 10,000,000Ft-ot neki: Don_Sorrentino
[03:07:45] Elwood_JR_Sorrentino atadott 10,000,000Ft-ot neki: Don_Sorrentino
[03:07:46] Elwood_JR_Sorrentino atadott 10,000,000Ft-ot neki: Don_Sorrentino
[03:07:48] Elwood_JR_Sorrentino atadott 10,000,000Ft-ot neki: Don_Sorrentino
[03:24:07] Don_Sorrentino atadott 10,000,000Ft-ot neki: Henrik_T_Scaletta
[09:08:46] Kiraly_Viktor atadott 100,000Ft-ot neki: Mate_Richard
[09:08:48] Kiraly_Viktor atadott 100,000Ft-ot neki: Doboska_Endre
[09:25:45] Jerry_Hooward atadott 70,000Ft-ot neki: James_D_Ryan
[09:56:49] Kiraly_Viktor atadott 100,000Ft-ot neki: Christopher_H_Gates
