[00:01:07] [Kliens][PID(16):UID(8179160)]Patrik_O_Neill - kliens aktív - ip: 89.134.154.73
[00:07:57] [Kliens][PID(17):UID(8172362)]Mike_O_Neill - kliens aktív - ip: 87.97.110.137
[00:09:51] [biznisz TILL1: 8] Eredeti összeg: 2,800, Adott: 0, HetiAktivsag: 14, Szorzó 0 oka: nem lépet be 24 órája
[00:09:51] [biznisz TILL2: 8] Eredeti összeg: 1,200, Adott:0, HetiAktivsag: 11, Szorzó: 1.000000 Oka: FÕTulaj nem lépett be 24 órája
[12:00:35] [biznisz TILL1: 3] Eredeti összeg: 400,000, Adott: 0, HetiAktivsag: 36, Szorzó 0 oka: nem lépet be 24 órája
[12:00:35] [biznisz TILL2: 3] Eredeti összeg: 100,000, Adott:0, HetiAktivsag: 22, Szorzó: 1.000000 Oka: FÕTulaj nem lépett be 24 órája
[12:01:15] [biznisz TILL1: 3] Eredeti összeg: 800,000, Adott: 0, HetiAktivsag: 36, Szorzó 0 oka: nem lépet be 24 órája
[12:01:15] [biznisz TILL2: 3] Eredeti összeg: 200,000, Adott:0, HetiAktivsag: 22, Szorzó: 1.000000 Oka: FÕTulaj nem lépett be 24 órája
[12:01:29] [biznisz TILL1: 3] Eredeti összeg: 800,000, Adott: 0, HetiAktivsag: 36, Szorzó 0 oka: nem lépet be 24 órája
[12:01:29] [biznisz TILL2: 3] Eredeti összeg: 200,000, Adott:0, HetiAktivsag: 22, Szorzó: 1.000000 Oka: FÕTulaj nem lépett be 24 órája
[12:51:38] [biznisz TILL1: 8] Eredeti összeg: 2,800, Adott: 0, HetiAktivsag: 14, Szorzó 0 oka: nem lépet be 24 órája
[12:51:38] [biznisz TILL2: 8] Eredeti összeg: 1,200, Adott:0, HetiAktivsag: 11, Szorzó: 1.000000 Oka: FÕTulaj nem lépett be 24 órája
[16:01:26] [biznisz TILL1: 12] Eredeti összeg: 50,000, Adott: 0, HetiAktivsag: 3, Szorzó 0 oka: nem lépet be 24 órája
[16:01:57] [biznisz TILL1: 12] Eredeti összeg: 50,000, Adott: 0, HetiAktivsag: 3, Szorzó 0 oka: nem lépet be 24 órája
[16:09:47] [biznisz TILL1: 12] Eredeti összeg: 50,000, Adott: 0, HetiAktivsag: 3, Szorzó 0 oka: nem lépet be 24 órája
[16:11:02] [biznisz TILL1: 12] Eredeti összeg: 50,000, Adott: 0, HetiAktivsag: 3, Szorzó 0 oka: nem lépet be 24 órája
[16:13:57] [biznisz TILL1: 12] Eredeti összeg: 50,000, Adott: 0, HetiAktivsag: 3, Szorzó 0 oka: nem lépet be 24 órája
[16:33:58] [biznisz TILL1: 12] Eredeti összeg: 50,000, Adott: 0, HetiAktivsag: 3, Szorzó 0 oka: nem lépet be 24 órája
[16:34:36] [biznisz TILL1: 12] Eredeti összeg: 50,000, Adott: 0, HetiAktivsag: 3, Szorzó 0 oka: nem lépet be 24 órája
[16:35:10] [biznisz TILL1: 12] Eredeti összeg: 50,000, Adott: 0, HetiAktivsag: 3, Szorzó 0 oka: nem lépet be 24 órája
[23:55:22] [biznisz TILL1: 8] Eredeti összeg: 2,800, Adott: 0, HetiAktivsag: 14, Szorzó 0 oka: nem lépet be 24 órája
[23:55:22] [biznisz TILL2: 8] Eredeti összeg: 1,200, Adott:0, HetiAktivsag: 11, Szorzó: 1.000000 Oka: FÕTulaj nem lépett be 24 órája
[23:59:45] [biznisz TILL1: 13] Eredeti összeg: 1,950, Adott: 0, HetiAktivsag: 14, Szorzó 0 oka: nem lépet be 24 órája
[23:59:45] [biznisz TILL2: 13] Eredeti összeg: 1,950, Adott:0, HetiAktivsag: 0, Szorzó: 0.000000 Oka: FÕTulaj nem lépett be 24 órája
